SMILES	FunctionalGroups
CC(=O)c1c(C)cc(cc1C)C(C)(C)C	Aldehyde, Acetyl, Tert-butyl, Carbonyl
CC(=O)C1C2CCC(C2)C1(C)C	Aldehyde, Acetyl, Carbonyl
CC(=O)c1cc(C)[nH]c1C	Aldehyde, Acetyl, Carbonyl
CC(=O)c1cc(C)oc1C	Aldehyde, Acetyl, Carbonyl
CC(=O)c1cc(cc2c1CCC2(C)C)C(C)(C)C	Aldehyde, Acetyl, Tert-butyl, Carbonyl
CC(=O)C1CC=C(C)C1(C)C	Aldehyde, Acetyl, Carbonyl
CC(=O)C1CCC(=C\CCC(=C/C/C=C1/C)\C)/C	Aldehyde, Acetyl, Carbonyl
CC(=O)c1ccc(C)cc1	Aldehyde, Acetyl, Carbonyl
CC(=O)c1ccc(C)cc1C	Aldehyde, Acetyl, Carbonyl
CC(=O)c1ccc(Cl)cc1	Aldehyde, Acetyl, Carbonyl
CC(=O)c1ccc(O)cc1	Aldehyde, Acetyl, Alcohol, Carbonyl
CC(=O)c1ccc2ccccc2c1	Aldehyde, Acetyl, Carbonyl
CC(=O)c1ccc2CCCCc2c1	Aldehyde, Acetyl, Carbonyl
CC(=O)C1CCCC(C)(C)C1	Aldehyde, Acetyl, Carbonyl
CC(=O)c1cccc(C)n1	Aldehyde, Acetyl, Carbonyl
CC(=O)c1cccc(n1)C(C)=O	Aldehyde, Acetyl, Carbonyl
CC(=O)C1CCCC/C=C\C1	Aldehyde, Acetyl, Carbonyl
CC(=O)c1cccc2ccccc12	Aldehyde, Acetyl, Carbonyl
CC(=O)c1ccccc1	Aldehyde, Acetyl, Carbonyl
CC(=O)c1ccccc1C	Aldehyde, Acetyl, Carbonyl
CC(=O)c1ccccc1O	Aldehyde, Acetyl, Alcohol, Carbonyl
CC(=O)c1ccccn1	Aldehyde, Acetyl, Carbonyl
CC(=O)c1cccnc1	Aldehyde, Acetyl, Carbonyl
CC(=O)c1ccnc(C)n1	Aldehyde, Acetyl, Carbonyl
CC(=O)c1ccncc1	Aldehyde, Acetyl, Carbonyl
CC(=O)c1cnc(C)cn1	Aldehyde, Acetyl, Carbonyl
CC(=O)c1cnccn1	Aldehyde, Acetyl, Carbonyl
CC(=O)c1nc(C)cnc1C	Aldehyde, Acetyl, Carbonyl
CC(=O)c1ncc(C)nc1C	Aldehyde, Acetyl, Carbonyl
CC(=O)c1nccnc1C	Aldehyde, Acetyl, Carbonyl
CC(=O)c1oc(C)cc1	Aldehyde, Acetyl, Carbonyl
CC(=O)c1oc(C)cc1C	Aldehyde, Acetyl, Carbonyl
CC(=O)c1oc2ccccc2c1	Aldehyde, Acetyl, Carbonyl
CC(=O)c1oc2ccccc2c1C	Aldehyde, Acetyl, Carbonyl
CC(=O)c1occc1	Aldehyde, Acetyl, Carbonyl
CC(=O)c1occc1O	Aldehyde, Acetyl, Alcohol, Carbonyl
CC(=O)c1sc(C)cc1	Aldehyde, Acetyl, Carbonyl
CC(=O)c1sc(C)nc1C	Aldehyde, Acetyl, Carbonyl
CC(=O)c1sc2ccccc2c1	Aldehyde, Acetyl, Carbonyl
CC(=O)c1scc(C)c1	Aldehyde, Acetyl, Carbonyl
CC(=O)c1sccc1	Aldehyde, Acetyl, Carbonyl
CC(=O)c1sccc1C	Aldehyde, Acetyl, Carbonyl
CC(=O)c1sccn1	Aldehyde, Acetyl, Carbonyl
CC(=O)c1scnc1C	Aldehyde, Acetyl, Carbonyl
CC(=O)CC(=O)c1ccccc1	Aldehyde, Acetyl, Carbonyl
CC(=O)CC(=O)OC\C=C(C)\CCC=C(C)C	Ester, Aldehyde, Acetyl, Carbonyl
CC(=O)CC(=O)OC\C=C(C)\CCC=C(C)C	Ester, Aldehyde, Acetyl, Carbonyl
CC(=O)CC(=O)OCc1ccccc1	Ester, Aldehyde, Acetyl, Carbonyl
CC(=O)CC(C)(C)C1CCCCC1	Aldehyde, Acetyl, Carbonyl
CC(=O)CC(C)(C)c1ccccc1	Aldehyde, Acetyl, Carbonyl
CC(=O)CC(C)(C)S	Aldehyde, Acetyl, Thiol, Thione, Carbonyl
CC(=O)CC1=CC=CS1	Aldehyde, Acetyl, Carbonyl
CC(=O)CC1=NC=CN=C1	Aldehyde, Acetyl, Carbonyl
CC(=O)Cc1ccccc1	Aldehyde, Acetyl, Carbonyl
CC(=O)Cc1occc1	Aldehyde, Acetyl, Carbonyl
CC(=O)CCC(=O)OCC=C	Ester, Aldehyde, Acetyl, Carbonyl
CC(=O)CCC(O)=O	Carboxylic Acid, Aldehyde, Acetyl, Alcohol, Carbonyl
CC(=O)CCC=C	Aldehyde, Acetyl, Carbonyl
CC(=O)CCC1=C(C)CCCC1(C)C	Aldehyde, Acetyl, Carbonyl
CC(=O)CCC1C(=C)CCCC1(C)C	Aldehyde, Acetyl, Carbonyl
CC(=O)CCC1C(=CCCC1(C)C)C	Aldehyde, Acetyl, Carbonyl
CC(=O)CCc1ccc(C)cc1	Aldehyde, Acetyl, Carbonyl
CC(=O)CCc1ccc(O)cc1	Aldehyde, Acetyl, Alcohol, Carbonyl
CC(=O)CCc1ccc2OCOc2c1	Aldehyde, Acetyl, Carbonyl
CC(=O)CCc1ccccc1	Aldehyde, Acetyl, Carbonyl
CC(=O)CCc1oc(C)cc1	Aldehyde, Acetyl, Carbonyl
CC(=O)CCc1occc1	Aldehyde, Acetyl, Carbonyl
CC(=O)CCCc1ccccc1	Aldehyde, Acetyl, Carbonyl
CC(=O)CCCCCC=C	Aldehyde, Acetyl, Carbonyl
CC(=O)CCCCCCC=C	Aldehyde, Acetyl, Carbonyl
CC(=O)CCCCCCCC=C	Aldehyde, Acetyl, Carbonyl
CC(=O)CCS	Aldehyde, Acetyl, Thiol, Thione, Carbonyl
CC(=O)CCSCCC(C)=O	Aldehyde, Acetyl, Carbonyl
CC(=O)CO	Aldehyde, Acetyl, Alcohol, Carbonyl
CC(=O)COC(C)=O	Ester, Aldehyde, Acetyl, Carbonyl
CC(=O)CSCc1occc1	Aldehyde, Acetyl, Carbonyl
CC(=O)CSSC	Aldehyde, Acetyl, Thioether, Carbonyl
CC(=O)N1C=CC=C1	Aldehyde, Acetyl, Carbonyl
CC(=O)O[C@@H]1C[C@@H]2CC[C@@]1(C)C2(C)C	Ester, Aldehyde, Acetyl, Carbonyl
CC(=O)O[C@@H]1CCCC[C@@H]1C(C)(C)C	Ester, Aldehyde, Acetyl, Tert-butyl, Carbonyl
CC(=O)O[C@H]1C[C@H]2CC[C@@]1(C)C2(C)C	Ester, Aldehyde, Acetyl, Carbonyl
CC(=O)O[C@H]1CC2CCC1(C)C2(C)C	Ester, Aldehyde, Acetyl, Carbonyl
CC(=O)O\C=C(/C)c1ccccc1	Ester, Aldehyde, Acetyl, Carbonyl
CC(=O)O\C=C/c1ccccc1	Ester, Aldehyde, Acetyl, Carbonyl
CC(=O)OC(=C)c1ccccc1	Ester, Aldehyde, Acetyl, Carbonyl
CC(=O)OC(C)(C)C1CCC(=CC1)C	Ester, Aldehyde, Acetyl, Carbonyl
CC(=O)OC(C)(C)C1CCC(=CC1)C	Ester, Aldehyde, Acetyl, Carbonyl
CC(=O)OC(C)(C)C1CCC(C)(O1)C=C	Ester, Aldehyde, Acetyl, Carbonyl
CC(=O)OC(C)(C)Cc1ccccc1	Ester, Aldehyde, Acetyl, Carbonyl
CC(=O)OC(C)(C)CCc1ccccc1	Ester, Aldehyde, Acetyl, Carbonyl
CC(=O)OC(C)(C)CCCC(=C)C=C	Ester, Aldehyde, Acetyl, Carbonyl
CC(=O)OC(C)(C)CCCC(=C)C=C	Ester, Aldehyde, Acetyl, Carbonyl
CC(=O)OC(C)(CCC1OC1(C)C)C=C	Ester, Aldehyde, Acetyl, Carbonyl
CC(=O)OC(c1ccccc1)C(Cl)(Cl)Cl	Ester, Aldehyde, Acetyl, Carbonyl
CC(=O)OC/C=C(C)/CC/C=C(C)/CCC=C(C)C	Ester, Aldehyde, Acetyl, Carbonyl
CC(=O)OC/C=C(C)/CC/C=C(C)/CCC=C(C)C	Ester, Aldehyde, Acetyl, Carbonyl
CC(=O)OC/C=C(C)/CCC=C(C)C	Ester, Aldehyde, Acetyl, Carbonyl
CC(=O)OC/C=C/C1=CC=CC=C1	Ester, Aldehyde, Acetyl, Carbonyl
CC(=O)OC/C=C\C1=CC=CC=C1	Ester, Aldehyde, Acetyl, Carbonyl
CC(=O)OC[C@@H](OC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C)=O)C=O	Ester, Aldehyde, Acetyl, Carbonyl
CC(=O)OC\C=C(C)/CCC=C(C)C	Ester, Aldehyde, Acetyl, Carbonyl
CC(=O)OC\C=C\c1ccccc1	Ester, Aldehyde, Acetyl, Carbonyl
CC(=O)OC1(CCCCC1)C#C	Ester, Aldehyde, Acetyl, Terminal Alkyne, Carbonyl
CC(=O)OC1(CCCCC1)C(C)=O	Ester, Aldehyde, Acetyl, Carbonyl
CC(=O)OC1=C(C)OC=CC1=O	Aldehyde, Acetyl, Carbonyl
CC(=O)OC1=CCC2C3CCC(C3)C12	Ester, Aldehyde, Acetyl, Carbonyl
CC(=O)OC12CCCC(C)(CCC3C1CC3(C)C)C2	Ester, Aldehyde, Acetyl, Carbonyl
CC(=O)OC1C(C)(C)[C@@H]2CC[C@@]1(C)C2	Ester, Aldehyde, Acetyl, Carbonyl
CC(=O)OC1CC2CC1C3C=CCC23	Ester, Aldehyde, Acetyl, Carbonyl
CC(=O)OC1CC2CC1C3CC=CC23	Ester, Aldehyde, Acetyl, Carbonyl
CC(=O)OC1CC2CC1C3CCCC23	Ester, Aldehyde, Acetyl, Carbonyl
CC(=O)OC1CC2CCC1(C)C2(C)C	Ester, Aldehyde, Acetyl, Carbonyl
CC(=O)OC1CC2CCC1(OC2(C)C)C	Ester, Aldehyde, Acetyl, Carbonyl
CC(=O)OC1CCC(=C)C2CC(C)(C)C2C/C=C1/C	Ester, Aldehyde, Acetyl, Carbonyl
CC(=O)Oc1ccc(C)cc1	Aldehyde, Acetyl, Carbonyl
CC(=O)OC1CCC(CC1)C(C)(C)C	Ester, Aldehyde, Acetyl, Tert-butyl, Carbonyl
CC(=O)OC1CCC(CC1)C(C)(C)C	Ester, Aldehyde, Acetyl, Tert-butyl, Carbonyl
CC(=O)OC1CCC2CCCCC2C1	Ester, Aldehyde, Acetyl, Carbonyl
CC(=O)Oc1cccc(C)c1	Aldehyde, Acetyl, Carbonyl
CC(=O)OC1CCCC(C1)C(C)(C)C	Ester, Aldehyde, Acetyl, Tert-butyl, Carbonyl
CC(=O)Oc1ccccc1	Aldehyde, Acetyl, Carbonyl
CC(=O)OC1CCCCC1	Ester, Aldehyde, Acetyl, Carbonyl
CC(=O)Oc1ccccc1C	Aldehyde, Acetyl, Carbonyl
CC(=O)OC1CCCCC1C(C)(C)C	Ester, Aldehyde, Acetyl, Tert-butyl, Carbonyl
CC(=O)OC1CCCCCCCCCCC1	Ester, Aldehyde, Acetyl, Carbonyl
CC(=O)OCC(=C)C1CCC(=CC1)C	Ester, Aldehyde, Acetyl, Carbonyl
CC(=O)OCC(COC(C)=O)OC(C)=O	Ester, Aldehyde, Acetyl, Carbonyl
CC(=O)OCC=C(C)C	Ester, Aldehyde, Acetyl, Carbonyl
CC(=O)OCC1=CCC2CC1C2(C)C	Ester, Aldehyde, Acetyl, Carbonyl
CC(=O)OCC1CCC(C)(C)C23CC4CC2C13C4(C)C	Ester, Aldehyde, Acetyl, Carbonyl
CC(=O)OCc1ccc(C)cc1	Ester, Aldehyde, Acetyl, Carbonyl
CC(=O)OCC1CCC2C3CCC(C3)C12	Ester, Aldehyde, Acetyl, Carbonyl
CC(=O)OCc1ccc2OCOc2c1	Ester, Aldehyde, Acetyl, Carbonyl
CC(=O)OCc1ccccc1	Ester, Aldehyde, Acetyl, Carbonyl
CC(=O)OCC1CCCO1	Ester, Aldehyde, Acetyl, Carbonyl
CC(=O)OCC1OC(OC(C)=O)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O	Ester, Aldehyde, Acetyl, Carbonyl
CC(=O)OCc1occc1	Ester, Aldehyde, Acetyl, Carbonyl
CC(=O)OCCC(C)(C)S	Ester, Aldehyde, Acetyl, Thiol, Thione, Carbonyl
CC(=O)OCCC1=CCC2CC1C2(C)C	Ester, Aldehyde, Acetyl, Carbonyl
CC(=O)OCCC1CC=C(C)C1(C)C	Ester, Aldehyde, Acetyl, Carbonyl
CC(=O)OCCc1ccccc1	Ester, Aldehyde, Acetyl, Carbonyl
CC(=O)OCCC1CCCCC1	Ester, Aldehyde, Acetyl, Carbonyl
CC(=O)OCCc1scnc1C	Ester, Aldehyde, Acetyl, Carbonyl
CC(=O)OCCCC=C	Ester, Aldehyde, Acetyl, Carbonyl
CC(=O)OCCCc1ccccc1	Ester, Aldehyde, Acetyl, Carbonyl
CC(=O)OCCCC1CCCCC1	Ester, Aldehyde, Acetyl, Carbonyl
CC(=O)OCCCCCCCCC=C	Ester, Aldehyde, Acetyl, Carbonyl
CC(=O)OCCCCCCCCCC=C	Ester, Aldehyde, Acetyl, Carbonyl
CC(=O)OCCOC(C)=O	Ester, Aldehyde, Acetyl, Carbonyl
CC(=O)OCCOc1ccc(C)cc1	Ester, Aldehyde, Acetyl, Carbonyl
CC(=O)Sc1cc(C)oc1C	Aldehyde, Acetyl, Carbonyl
CC(=O)Sc1ccoc1C	Aldehyde, Acetyl, Carbonyl
CC(=O)SCc1occc1	Aldehyde, Acetyl, Carbonyl
CC(C(=O)[O-])OC1=CC=C(C=C1)OC.[Na+]	Carboxylic Acid, Methoxy, Carbonyl
CC(C(=O)C)OC(=O)C	Ester, Aldehyde, Acetyl, Carbonyl
CC(C(=O)NCCOP(=O)(O)O)O	Alcohol, Carbonyl, Amine
CC(C(C)(CC=C(C)C)C=C)O	Alcohol
CC(C(C)C(C)O)C(C)C(C)(C)C	Tert-butyl, Alcohol
CC(C(C)O)C(=C)C(C)C(C)(C)C	Tert-butyl, Alcohol
CC(C)(C)C(=O)OC1CC2CC1C3CC=CC23	Ester, Tert-butyl, Carbonyl
CC(C)(C)C(=O)OCc1ccccc1	Ester, Tert-butyl, Carbonyl
CC(C)(C)C(=O)OCCc1ccccc1	Ester, Tert-butyl, Carbonyl
CC(C)(C)C1=CC=CC(=C1)CCC=O	Tert-butyl, Carbonyl
CC(C)(C)C1CCC(=O)CC1	Tert-butyl, Carbonyl
CC(C)(C)C1CCC(CC1)C=O	Tert-butyl, Carbonyl
CC(C)(C)c1ccc(CCC=O)cc1	Tert-butyl, Carbonyl
CC(C)(C)C1CCC(O)CC1	Tert-butyl, Alcohol
CC(C)(C)c1ccc(O)cc1	Tert-butyl, Alcohol
CC(C)(C)C1CCC(O)CC1	Tert-butyl, Alcohol
CC(C)(C)c1cccc2ncccc12	Tert-butyl
CC(C)(C)C1CCCCC1=O	Tert-butyl, Carbonyl
CC(C)(C)C1CCCCC1O	Tert-butyl, Alcohol
CC(C)(C)c1cnccn1	Tert-butyl
CC(C)(CC=O)S	Thiol, Thione, Carbonyl
CC(C)(Cc1ccccc1)C=O	Carbonyl
CC(C)(Cc1ccccc1)OC=O	Ester, Carbonyl
CC(C)(CCC1CCCCC1)O	Alcohol
CC(C)(CCCC(=C)C=C)OC	Methoxy
CC(C)(CCOC)S	Thiol, Thione, Methoxy
CC(C)(CO)Cc1ccccc1	Alcohol
CC(C)(COCC1=CC=CC=C1)C=O	Carbonyl
CC(C)(O)[C@@H]1CC[C@@]2(C)CCCC(=C)[C@@H]2C1	Alcohol
CC(C)(O)C(C)(C)O	Alcohol
CC(C)(O)C=C	Alcohol
CC(C)(O)C1CCC(C)(O1)C=C	Alcohol
CC(C)(O)C1CCC(C)(O1)C=C	Alcohol
CC(C)(O)c1ccccc1	Alcohol
CC(C)(O)CC1CCC2(C)CCCC(=C)C2C1	Alcohol
CC(C)(O)Cc1ccccc1	Alcohol
CC(C)(O)CCc1ccccc1	Alcohol
CC(C)(O)CCCC(=C)C=C	Alcohol
CC(C)(O)CCCC1=CCC(CC1)C=O	Alcohol, Carbonyl
CC(C)(S)CCO	Thiol, Thione, Alcohol
CC(C)(S)CCOC=O	Ester, Thiol, Thione, Carbonyl
CC(C)/C=C(\C)/C(=O)O	Carboxylic Acid, Alcohol, Carbonyl
CC(C)[C@@]12C[C@@H](O)C(C)[C@H]1C2	Alcohol
CC(C)[C@@]12C[C@@H]1[C@@H](C)C(=O)C2	Carbonyl
CC(C)[C@@H]1CC[C@@](C)(O)[C@H]2CCC(=C[C@@H]12)C	Alcohol
CC(C)[C@@H]1CC[C@@H](C)[C@@]23CC=C(C)[C@@H]2[C@@H]13	NO_MATCH
CC(C)[C@@H]1CC[C@@H](C)[C@@]23CCC(=C)[C@@H]2[C@@H]13	NO_MATCH
CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O	Alcohol
CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O	Alcohol
CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OC(=O)C(C)O	Ester, Alcohol, Carbonyl
CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OC(C)=O	Ester, Aldehyde, Acetyl, Carbonyl
CC(C)[C@@H]1CC[C@@H](C)CC1=O	Carbonyl
CC(C)[C@@H]1CC[C@](C)(O)[C@H]2CCC(=C[C@@H]12)C	Alcohol
CC(C)[C@@H]1CC[C@H](C)[C@@H]2C=C[C@H](C)C[C@@H]12	NO_MATCH
CC(C)[C@@H]1CC=C(C)[C@@H]2CC=C(C)C[C@@H]12	NO_MATCH
CC(C)[C@@H]1CCC(=C)C=C1	NO_MATCH
CC(C)[C@@H]1CCC(=CC1)CCC=O	Carbonyl
CC(C)[C@@H]1CCC(=CC1=O)C	Carbonyl
CC(C)[C@@H]1CCC(=CC1=O)C	Carbonyl
CC(C)[C@@H]1CCC2(CC1)CCC(=O)O2	Ester, Carbonyl
CC(C)[C@]1(O)CCC(=CC1)C	Alcohol
CC(C)[C@]12CC[C@@](C)(O)[C@@H]1C2	Alcohol
CC(C)[C@H]1CC[C@@H](C)C[C@@H]1O	Alcohol
CC(C)[C@H]1CC[C@@H](C)C[C@H]1O	Alcohol
CC(C)[C@H]1CC[C@@H](C)CC1O	Alcohol
CC(C)[C@H]1CC[C@H](C)C[C@@H]1OC(C)=O	Ester, Aldehyde, Acetyl, Carbonyl
CC(C)[C@H]1CC[C@H](C)CC1=O	Carbonyl
CC(C)[C@H]1CC=C(C)C=C1	NO_MATCH
CC(C)[C@H]1CC=C(C)C=C1	NO_MATCH
CC(C)[C@H]1CCC(=C)[C@H]2CCC(=C[C@H]12)C	NO_MATCH
CC(C)[C@H]1CCC(=CC1=O)C	Carbonyl
CC(C)\C=C(/C)C(O)=O	Carboxylic Acid, Alcohol, Carbonyl
CC(C)\C=C(C=O)/c1ccccc1	Carbonyl
CC(C)\C=C/C=O	Carbonyl
CC(C)\C=C\C([O-])=O	Carboxylic Acid, Carbonyl
CC(C)\C=C\C(C)=O	Aldehyde, Acetyl, Carbonyl
CC(C)=C(C)C(=O)OCc1ccccc1	Ester, Carbonyl
CC(C)=C/C=C/C(C)=O	Aldehyde, Acetyl, Carbonyl
CC(C)=C[C@@H](O)CC(=C)C=C	Alcohol
CC(C)=C1CCC(=C/CCC(=C/C1)/C)/C	NO_MATCH
CC(C)=C1CCC(=CC1)C	NO_MATCH
CC(C)=C1CCC(=CC1=O)C	Carbonyl
CC(C)=C1CCC2(C)OC2C1=O	Carbonyl
CC(C)=CC(=O)C(C)(C)C=C	Carbonyl
CC(C)=CC(=O)OCCc1ccccc1	Ester, Carbonyl
CC(C)=CC(C)=O	Aldehyde, Acetyl, Carbonyl
CC(C)=CC(O)=O	Carboxylic Acid, Alcohol, Carbonyl
CC(C)=CC/C=C(/C)C=C	NO_MATCH
CC(C)=CC\C=C(/C)C=C	NO_MATCH
CC(C)=CC\C=C(/C)C1CCC(=CC1)C	NO_MATCH
CC(C)=CC=O	Carbonyl
CC(C)=CC1CC(=CCO1)C	NO_MATCH
CC(C)=CCC(CO)C(C)=C	Alcohol
CC(C)=CCC/C(C)=C/C1OCCO1	NO_MATCH
CC(C)=CCC/C(C)=C/CC/C(C)=C/CCC(C)(O)C=C	Alcohol
CC(C)=CCC/C(C)=C/CC1CCCC1=O	Carbonyl
CC(C)=CCC/C(C)=C/CCc1ccncc1	NO_MATCH
CC(C)=CCC/C(C)=C/CO[C@H](Cc1ccccc1)OC\C=C(C)\CCC=C(C)C	NO_MATCH
CC(C)=CCC/C(C)=C/COC(=O)C(C)=C(C)C	Ester, Carbonyl
CC(C)=CCC/C(C)=C/COC(=O)c1ccccc1	Ester, Carbonyl
CC(C)=CCC/C(C)=C/COC(=O)c1ccccc1N	Ester, Carbonyl, Amine
CC(C)=CCC/C(C)=C/COC(=O)Cc1ccccc1	Ester, Carbonyl
CC(C)=CCC/C(C)=C/COC(=O)CCCCCCCCC=C	Ester, Carbonyl
CC(C)=CCC/C(C)=C/COC/C=C(C)/CCC=C(C)C	NO_MATCH
CC(C)=CCC[C@@](C)(O)C=C	Alcohol
CC(C)=CCC[C@](C)(O)[C@@H]1CCC(=CC1)C	Alcohol
CC(C)=CCC[C@](C)(O)[C@H]1CCC(=CC1)C	Alcohol
CC(C)=CCC[C@](C)(O)C=C	Alcohol
CC(C)=CCC\C(C)=C/1CCC(=CC1)C	NO_MATCH
CC(C)=CCC\C(C)=C/C=O	Carbonyl
CC(C)=CCC\C(C)=C/CCC(=C)C=C	NO_MATCH
CC(C)=CCC\C(C)=C/CCC(C)(O)C=C	Alcohol
CC(C)=CCC\C(C)=C/CCC(C)(OC(C)=O)C=C	Ester, Aldehyde, Acetyl, Carbonyl
CC(C)=CCC\C(C)=C/CCC=O	Carbonyl
CC(C)=CCC\C(C)=C/CO	Alcohol
CC(C)=CCC\C(C)=C/COC(=O)Cc1ccccc1	Ester, Carbonyl
CC(C)=CCC\C(C)=C/CS	Thiol, Thione
CC(C)=CCC\C(C)=C\C(O)=O	Carboxylic Acid, Alcohol, Carbonyl
CC(C)=CCC\C(C)=C\C(O)C=O	Alcohol, Carbonyl
CC(C)=CCC\C(C)=C\C\C=C(/C)C=C	NO_MATCH
CC(C)=CCC\C(C)=C\C=C\C(C)=O	Aldehyde, Acetyl, Carbonyl
CC(C)=CCC\C(C)=C\C=O	Carbonyl
CC(C)=CCC\C(C)=C\C=O	Carbonyl
CC(C)=CCC\C(C)=C\CC\C(C)=C\CCC(C)=O	Aldehyde, Acetyl, Carbonyl
CC(C)=CCC\C(C)=C\CC\C(C)=C\CO	Alcohol
CC(C)=CCC\C(C)=C\CC\C(C)=C\CO	Alcohol
CC(C)=CCC\C(C)=C\CCC(=C)C=C	NO_MATCH
CC(C)=CCC\C(C)=C\CCC(C)(O)C=C	Alcohol
CC(C)=CCC\C(C)=C\CCC(C)(O)C=C	Alcohol
CC(C)=CCC\C(C)=C\CCC(C)=O	Aldehyde, Acetyl, Carbonyl
CC(C)=CCC\C(C)=C\CCC(C)=O	Aldehyde, Acetyl, Carbonyl
CC(C)=CCC\C(C)=C\CO	Alcohol
CC(C)=CCC\C(C)=C\COC=O	Ester, Carbonyl
CC(C)=CCC\C(C)=C\COCC=O	Carbonyl
CC(C)=CCC\C(C)=C\COCC=O	Carbonyl
CC(C)=CCC1CCCC1=O	Carbonyl
CC(C)=CCc1occc1C	NO_MATCH
CC(C)=CCCC(=C)[C@@H]1CCC(=CC1)C	NO_MATCH
CC(C)=CCCC(=C)C=C	NO_MATCH
CC(C)=CCCC(=C)CC=O	Carbonyl
CC(C)=CCCC(C)(O)C#C	Terminal Alkyne, Alcohol
CC(C)=CCCC(C)(O)C=C	Alcohol
CC(C)=CCCC(C)(O)C1CO1	Alcohol
CC(C)=CCCC(C)(OC(=O)\C=C\c1ccccc1)C=C	Ester, Carbonyl
CC(C)=CCCC(C)(OC(=O)c1ccccc1)C=C	Ester, Carbonyl
CC(C)=CCCC(C)(OC(=O)c1ccccc1N)C=C	Ester, Carbonyl, Amine
CC(C)=CCCC(C)(OC(=O)Cc1ccccc1)C=C	Ester, Carbonyl
CC(C)=CCCC(C)(OC(C)=O)C=C	Ester, Aldehyde, Acetyl, Carbonyl
CC(C)=CCCC(C)(OC(C)=O)C=C	Ester, Aldehyde, Acetyl, Carbonyl
CC(C)=CCCC(C)(OC(C)=O)C=C	Ester, Aldehyde, Acetyl, Carbonyl
CC(C)=CCCC(C)(OC=O)C=C	Ester, Carbonyl
CC(C)=CCCC(C)=O	Aldehyde, Acetyl, Carbonyl
CC(C)=CCCC(C)=O	Aldehyde, Acetyl, Carbonyl
CC(C)=CCCC1=CCC(C)(CC1)C=O	Carbonyl
CC(C)=CCCC1=CCC(CC1)C=O	Carbonyl
CC(C)=CCCC1=CCCC(C)(C1)C=O	Carbonyl
CC(C)=CCCC1=CCCC(C1)C#N	Nitrile
CC(C)=CCCC1=CCCC(C1)C=O	Carbonyl
CC(C)=CCO	Alcohol
CC(C)=CCOC(=O)c1ccccc1O	Ester, Alcohol, Carbonyl
CC(C)=CCOC=O	Ester, Carbonyl
CC(C)=CCS	Thiol, Thione
CC(C)=O	Aldehyde, Acetyl, Carbonyl
CC(C)C(=CCC(C)C=O)C	Carbonyl
CC(C)C(=NO)C(C)(C)CC=C(C)C=C	Alcohol, Imino
CC(C)C(=O)/C=C/C1C(=CCCC1(C)C)C	Carbonyl
CC(C)C(=O)C(C)(C)CC=C(C)C	Carbonyl
CC(C)C(=O)C(C)=O	Aldehyde, Acetyl, Carbonyl
CC(C)C(=O)C(C)C	Carbonyl
CC(C)C(=O)c1ccccc1	Carbonyl
CC(C)C(=O)O[C@@H]1C[C@H]2CC[C@@]1(C2(C)C)C	Ester, Carbonyl
CC(C)C(=O)OC(C)(C)c1ccccc1	Ester, Carbonyl
CC(C)C(=O)OC(C)(C)Cc1ccccc1	Ester, Carbonyl
CC(C)C(=O)OC(C)(C)CCc1ccccc1	Ester, Carbonyl
CC(C)C(=O)OC(C)(CC\C=C(C)/CCC=C(C)C)C=C	Ester, Carbonyl
CC(C)C(=O)OC(C)(CCC=C(C)C)C=C	Ester, Carbonyl
CC(C)C(=O)OC(C)C1=CC=CC=C1	Ester, Carbonyl
CC(C)C(=O)OC(C)CC(=C)C	Ester, Carbonyl
CC(C)C(=O)OC[C@@H](C)c1ccccc1	Ester, Carbonyl
CC(C)C(=O)OC\C=C(C)/CCC=C(C)C	Ester, Carbonyl
CC(C)C(=O)OC\C=C(C)\CCC=C(C)C	Ester, Carbonyl
CC(C)C(=O)OC\C=C\c1ccccc1	Ester, Carbonyl
CC(C)C(=O)OC1=C(C)OC=CC1=O	Carbonyl
CC(C)C(=O)OC1=C(C=C(C=C1)C=O)OC	Methoxy, Carbonyl
CC(C)C(=O)OC1=CC=CC=C1OC	Methoxy, Carbonyl
CC(C)C(=O)OC1CC2CC1C3C=CCC23	Ester, Carbonyl
CC(C)C(=O)OC1CC2CC1C3CC=CC23	Ester, Carbonyl
CC(C)C(=O)OC1CC2CCC1(C)C2(C)C	Ester, Carbonyl
CC(C)C(=O)Oc1ccc(C)cc1	Carbonyl
CC(C)C(=O)OC1CCC2CCCCC2C1	Ester, Carbonyl
CC(C)C(=O)Oc1ccccc1C	Carbonyl
CC(C)C(=O)OCC=C(C)C	Ester, Carbonyl
CC(C)C(=O)OCC1=CCC2CC1C2(C)C	Ester, Carbonyl
CC(C)C(=O)OCc1ccccc1	Ester, Carbonyl
CC(C)C(=O)OCc1occc1	Ester, Carbonyl
CC(C)C(=O)OCCC(C)CCCC(C)=C	Ester, Carbonyl
CC(C)C(=O)OCCc1ccccc1	Ester, Carbonyl
CC(C)C(=O)OCCCc1ccccc1	Ester, Carbonyl
