SMILES	FunctionalGroups
CC\C=C/C\C=C/CCO	Alcohol
CC\C=C/C\C=C/CCO	Alcohol
CC\C=C/CC(O)=O	CarboxylicAcid
CC\C=C/CC(O)C=C	Alcohol
CC\C=C/CC\C=C\C=O	Aldehyde
CC\C=C/CC=O	Aldehyde
CC\C=C/CCCCC=O	Aldehyde
CC\C=C/CCCCCC=O	Aldehyde
CC\C=C/CCCCCCC=O	Aldehyde
CC\C=C/CCCCCO	Alcohol
CC\C=C/CCCCO	Alcohol
CC\C=C/CCCO	Alcohol
CC\C=C/CCO	Alcohol
CC\C=C/CCOC(=O)C(C)O	Alcohol
CC\C=C/CCOC(=O)c1ccccc1N	Amine
CC\C=C/CO	Alcohol
CC\C=C\C(O)=O	CarboxylicAcid
CC=O	Aldehyde
CC1([C@@H]2C[C@H]1C(=C)[C@@H](C2)O)C	Alcohol
CC1([C@H]2CC=C([C@@H]1C2)C=O)C	Aldehyde
CC1(C(CC2C1(C2)C)CC3CC3(C)CO)C	Alcohol
CC1(C)[C@@H]2CC(O)C(=C)[C@H]1C2	Alcohol
CC1(C)[C@@H]2CC[C@@](C)(C2)[C@@H]1O	Alcohol
CC1(C)[C@@H]2CC[C@](C)(C2)[C@@]1(C)O	Alcohol
CC1(C)[C@@H]2CC[C@]1(C)[C@@H](C2)OC(=O)c3ccccc3O	Alcohol
CC1(C)[C@@H]2CC[C@]1(C)[C@H](O)C2	Alcohol
CC1(C)[C@H](CC[C@@]2(C)[C@H]1CC[C@]3(C)[C@@H]2C(=O)C=C4[C@@H]5C[C@](C)(CC[C@]5(C)CC[C@@]34C)C(O)=O)O[C@H]6O[C@@H]([C@@H](O)[C@H](O)[C@H]6O[C@@H]7O[C@@H]([C@@H](O)[C@H](O)[C@H]7O)C(O)=O)C(O)=O	CarboxylicAcid, Alcohol
CC1(C)[C@H]2CC[C@@]1(C)[C@H](O)C2	Alcohol
CC1(C)[C@H]2CC[C@]1(C)[C@H](C2)OCCO	Alcohol
CC1(C)[C@H]2CC=C(CO)[C@@H]1C2	Alcohol
CC1(C)C2CC(O)C(=C)C1C2	Alcohol
CC1(C)C2CC=C(C=O)C1C2	Aldehyde
CC1(C)C2CC=C(CC=O)C1C2	Aldehyde
CC1(C)C2CC=C(CCC=O)C1C2	Aldehyde
CC1(C)C2CC=C(CCO)C1C2	Alcohol
CC1(C)C2CC=C(CO)C1C2	Alcohol
CC1(C)C2CCC(C)(C2)C1O	Alcohol
CC1(C)C2CCC(C2)C1(C)O	Alcohol
CC1(C)C2CCC(C3CCC(O)CC3)C1(C)C2	Alcohol
CC1(C)C2CCC1(C)[C@@H](O)C2	Alcohol
CC1(C)C2CCC1(C)C(C)(O)C2	Alcohol
CC1(C)C2CCC1(C)C(C2)C3CCC(O)CC3	Alcohol
CC1(C)C2CCC1(C)C(O)C2	Alcohol
CC1(C)CC2C1CCC3(C)CCCC2(O)C3	Alcohol
CC1(C)CCC(CO)C23C4CC(CC124)C3(C)C	Alcohol
CC1(C)CCC[C@@]2(C)C1CC[C@@](C)(O)[C@@H]2CC[C@@](C)(O)C=C	Alcohol
CC1(C)CCCC(C)(O)C1=O	Alcohol
CC1(C)CCCC2=C1CC(CC2)C=O	Aldehyde
CC1(C)CCCc2ccc(C=O)cc12	Aldehyde
CC1(C)OC(C)(CCC1O)C=C	Alcohol
CC1(C)OC(C)(CCC1O)C=C	Alcohol
CC1(C)OC(C)(CCC1O)C=C	Alcohol
CC1(C2CCC1C(C2)C3CCCCC3O)C	Alcohol
CC1(CC(C2=CCCCC21)(C)C=O)C	Aldehyde
CC1(CC2C(C1)C3(CCCC2(C3O)C)C)C	Alcohol
CC1(CCCC2(C13CCC(C3)C2(C)C)O)C	Alcohol
CC1(CCCC2(C3C1[C@@H](C2(CC3)C)O)C)C	Alcohol
CC1(CCCCC(C1(CC=C)O)(C)C)C	Alcohol
CC1(O)CCC2C(=CCCC2(C)C)C1	Alcohol
CC1(O)CSC(C)(O)CS1	Alcohol
CC1=C(C(=O)C(C1)(C)C)O	Alcohol
CC1=C(C(NC(=S)N1)c2ccc(Br)cc2)C(=O)Nc3cccc(Cl)c3	Halogen
CC1=C(C)C2(C)CCC1(C)C(C)(C)C2(C)O	Alcohol
CC1=C(C=CO1)SC(C)CC=O	Aldehyde
CC1=C(C=O)C(C)(C)CC=C1	Aldehyde
CC1=C(C=O)C(C)(C)CCC1	Aldehyde
CC1=C(C2(CC1CC2CO)C(=C)C)C	Alcohol
CC1=C(CC=O)C(C)(C)CCC1	Aldehyde
CC1=C(O)C(=O)C=CO1	Alcohol
CC1=C(O)C(=O)CC1	Alcohol
CC1=C(O)C(=O)CO1	Alcohol
CC1=C[C@@H](O)[C@H]2C[C@@H]1C2(C)C	Alcohol
CC1=C[C@H]2[C@@H](CC[C@@]([C@@H]2CC1)(C)O)C(C)C	Alcohol
CC1=C2C(=CC=C1)C=C(O2)C=O	Aldehyde
CC1=C2C[C@@H](CC[C@@]2(CCC1)C)C(C)(C)O	Alcohol
CC1=CC(=C(S1)C(=O)C)O	Alcohol
CC1=CC(=CC=C1)CC(C)(C)CO	Alcohol
CC1=CC(=O)NS(=O)(=O)O1.COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(=O)O)N	CarboxylicAcid, Amine
CC1=CC(O)C2CC1C2(C)C	Alcohol
CC1=CC[C@@H](CC1)C(C)(C)O	Alcohol
CC1=CC[C@@H](CC1)C(C)(C)O	Alcohol
CC1=CC[C@H](C[C@@H]1O)C(=C)C	Alcohol
CC1=CC[C@H](CC1)C(C)(C)O	Alcohol
CC1=CC\C(CC1)=C(C)/CCC=O	Aldehyde
CC1=CC=CC=C1C(=O)CO	Alcohol
CC1=CC2=C(C(=C1C=O)OC)C(CCC2(C)C)(C)C	Aldehyde
CC1=CC2=C(CC(C2)(C)CO)C=C1	Alcohol
CC1=CC2C(CC1CC2C(C)C)C=O	Aldehyde
CC1=CCC(C1(C)C)/C=C/C(C)(C)C(C)O	Alcohol
CC1=CCC(C1(C)C)C(=C)CC(C)CO	Alcohol
CC1=CCC(C1(C)C)CCC(C)CO	Alcohol
CC1=CCC(CC1)C(C)(C)O	Alcohol
CC1=CCC(CC1)C(C)(C)OC(=O)c2ccccc2N	Amine
CC1=CCC(CC1)C(O)=O	CarboxylicAcid
CC1=CCC(CCO)C1(C)C	Alcohol
CC1=CSC(=N1)C(C)O	Alcohol
CC1=NCCS1	Amine
CC12CCCC(C)(C1CCC34CC(=C)C(O)(CCC23)C4)C(O)=O	CarboxylicAcid, Alcohol
CC1C(C(=O)C(=C1C)O)C	Alcohol
CC1C(C(C(C(O1)CO)O)OC2C(C(C(C(O2)COC3C(C(C(CO3)O)OC)O)O)OC)O)O	Alcohol
Cc1c(c(C)c(c(c1[N+]([O-])=O)C(C)(C)C)[N+]([O-])=O)[N+]([O-])=O	Nitro
Cc1c(C)c(c(c(c1C)[N+]([O-])=O)C(C)(C)C)[N+]([O-])=O	Nitro
Cc1c(cc2c(c1[N+]([O-])=O)C(C)(C)CC2(C)C)[N+]([O-])=O	Nitro
CC1C(CCC1(C)O)C(=C)C	Alcohol
CC1C(OC(O1)C2=CC(=C(C=C2)O)OC)C	Alcohol
CC1C=C(C)CC(C=O)C1C	Aldehyde
CC1C=C(C)CCC1C=O	Aldehyde
CC1C=CCCC1(C)C=O	Aldehyde
CC1C2CC(CC2C3CCC(O)CC3)C1(C)C	Alcohol
CC1C2CC(CC2C3CCCC(O)C3)C1(C)C	Alcohol
CC1C2CC3CC1C(C(C2)C3=C)O	Alcohol
CC1C2CCC(C2)(C1(C)C)C3(CCCCC3)O	Alcohol
CC1CC(=CC(C)C1C=O)C.CC2C=C(C)CC(C=O)C2C	Aldehyde
CC1CC(=CC(C)C1CO)C	Alcohol
CC1CC(=O)C(=C1C)O	Alcohol
Cc1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C	Alcohol
Cc1cc(C)c(C)c(O)c1	Alcohol
Cc1cc(C)c(O)c(C)c1	Alcohol
Cc1cc(C)c(O)cc1C	Alcohol
Cc1cc(C)cc(O)c1	Alcohol
CC1CC(CC(=C1)C)C=O	Aldehyde
CC1CC(CO)CC(=C1)C	Alcohol
CC1CC(O)C=C(C)C2CC(CC12)=C(C)C	Alcohol
CC1CC(O)CC(C)(C)C1	Alcohol
Cc1cc(O)cc(C)c1C	Alcohol
CC1CC=C(C)CC1C=O	Aldehyde
Cc1ccc(\C=C\C=O)cc1	Aldehyde
CC1CCC(C(C1)O)C(=O)C	Alcohol
CC1CCC(C(C1)OCC(CO)O)C(C)C	Alcohol
CC1CCC(C(C1)OCC2COC(O2)C3=CC(=C(C=C3)O)OC)C(C)C	Alcohol
Cc1ccc(c(O)c1)C(C)(C)C	Alcohol
CC1CCC(C(O)C1)C(C)(C)O	Alcohol
CC1CCC(C(O)C1)C(C)(C)O	Alcohol
CC1CCC(C(O)C1)C(C)(C)O	Alcohol
CC1CCC(C(O)C1)C(C)(C)O	Alcohol
CC1CCC(C(O)C1)C(C)=C	Alcohol
CC1CCC(C(O)C1)C(C)=C	Alcohol
Cc1ccc(C)c(O)c1	Alcohol
Cc1ccc(C=O)c(C)c1	Aldehyde
Cc1ccc(C=O)c(O)c1	Alcohol, Aldehyde
Cc1ccc(C=O)cc1	Aldehyde
Cc1ccc(CC(C)(C)O)cc1	Alcohol
Cc1ccc(CC=O)cc1	Aldehyde
CC1CCC(CC1)C(C)(C)O	Alcohol
Cc1ccc(cc1)C(C)(C)O	Alcohol
CC1CCC(CC1)C(C)(C)O	Alcohol
CC1CCC(CC1O)C(C)=C	Alcohol
CC1CCC(CCO)C1(C)C	Alcohol
Cc1ccc(CCO)cc1	Alcohol
CC1CCC(CO)C(C)C1	Alcohol
Cc1ccc(O)c(C)c1	Alcohol
Cc1ccc(O)c(c1)C(C)(C)C	Alcohol
CC1CCC(O)C(C1)C(C)(C)C	Alcohol
Cc1ccc(O)c(c1)C(C)=O	Alcohol
Cc1ccc(O)cc1	Alcohol
Cc1ccc(O)cc1C	Alcohol
Cc1ccc(OCC=O)cc1	Aldehyde
Cc1ccc(OCCO)cc1	Alcohol
CC1CCC2(O1)C(CCCC2(C)O)(C)C	Alcohol
CC1CCC2=C(C)CCC(CC12)C(C)(C)O	Alcohol
CC1CCC2C(=CC3(O)OC12CC3=C(C)C)C	Alcohol
CC1CCC2C(C)(C)C3CC12CC(O)C3=C	Alcohol
Cc1ccc2NCCCc2c1	Amine
Cc1cccc(C)c1O	Alcohol
Cc1cccc(C=O)c1	Aldehyde
Cc1cccc(C=O)n1	Aldehyde
Cc1cccc(c1O)C(C)(C)C	Alcohol
Cc1cccc(CCCCCO)c1	Alcohol
Cc1cccc(CCO)c1	Alcohol
Cc1cccc(CO)n1	Alcohol
Cc1cccc(O)c1	Alcohol
CC1CCCC(O)C1	Alcohol
Cc1cccc(O)c1C	Alcohol
CC1CCCC2(C)CCCCC12O	Alcohol
CC1CCCC2(C)CCCCC12O	Alcohol
Cc1ccccc1C(=O)NC(=S)Nc2cc(ccc2Cl)c3sc4ccccc4n3	Halogen
Cc1ccccc1C(O)O.OCC(O)CO	Alcohol
Cc1ccccc1CCO	Alcohol
CC1CCCCC1NC(=O)C2=C(C(=C(C(=C2F)F)F)F)F	Halogen
Cc1ccccc1O	Alcohol
Cc1ccccc1OC(=O)c2ccccc2O	Alcohol
CC1CCCCN1	Amine
Cc1ccsc1C=O	Aldehyde
CC1COC(O1)(C)C(C)O	Alcohol
CC1COC(O1)CC(C)CCCC(C)(C)O	Alcohol
Cc1csc(C=O)n1	Aldehyde
CC1NC(C)SC(C)S1	Amine
CC1NC(SC(S1)C)C(C)C	Amine
CC1NC(SC(S1)CC(C)C)C	Amine
CC1NCCS1	Amine
Cc1ncsc1CCO	Alcohol
CC1OC(=C(O)C1=O)C	Alcohol
CC1OC(=O)C(=C1C)O	Alcohol
CC1OC(C)(O)C(C)OC1(C)O	Alcohol
Cc1oc(C=O)cc1	Aldehyde
CC1SC(=C(O)C1=O)C	Alcohol
Cc1sc(C=O)cc1	Aldehyde
CCC(=O)C(C)O	Alcohol
CCC(=O)C(O)=O	CarboxylicAcid
CCC(=O)C1=NCCC1	Amine
CCC(=O)C1=NCCS1	Amine
CCC(=O)c1ccc(O)cc1	Alcohol
CCC(=O)c1ccccc1O	Alcohol
CCC(=O)CCC1C(=CCCC1(C)C)C.OCC#C	Alcohol, TerminalAlkyne
CCC(=O)CO	Alcohol
CCC(C(C)C=O)S	Aldehyde
CCC(C(C)CO)S	Alcohol
CCC(C)(CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C)O	Alcohol
CCC(C)(CCCC(C)C=O)OC	Aldehyde
CCC(C)(O)\C=C\C=C(C)C	Alcohol
CCC(C)(O)CC	Alcohol
CCC(C)(O)CCC=C(C)C	Alcohol
CCC(C)(O)CCc1ccccc1	Alcohol
CCC(C)(O)CCCC(C)C	Alcohol
CCC(C)/C=C(/CSC)\C=O	Aldehyde
CCC(C)C(=O)OCC(C)O	Alcohol
CCC(C)C(C(=O)OC)O	Alcohol
CCC(C)C(C(=O)OCC)O	Alcohol
CCC(C)C(C)C=O	Aldehyde
CCC(C)C(O)=O	CarboxylicAcid
CCC(C)C=O	Aldehyde
CCC(C)C1CCCCC1(OC(C)=O)C#C	TerminalAlkyne
CCC(C)C1SC(C)C(=N1)C	Amine
CCC(C)CC(O)=O	CarboxylicAcid
CCC(C)CCC(C)(O)CC	Alcohol
CCC(C)CCC(O)=O	CarboxylicAcid
CCC(C)CCCC(C)(C)O	Alcohol
CCC(C)CCCCC=O	Aldehyde
CCC(C)CCO	Alcohol
CCC(C)CO	Alcohol
CCC(C)COC(=O)c1ccccc1O	Alcohol
CCC(C)N=C=S	Amine
CCC(C)O	Alcohol
CCC(C)O	Alcohol
CCC(C=CC1=C(CCCC1(C)C)C)O	Alcohol
CCC(C=O)c1oc(C)cc1	Aldehyde
CCC(CC)=CCC(C)CCO	Alcohol
CCC(CC)C(O)=O	CarboxylicAcid
CCC(CC)C=O	Aldehyde
CCC(CC)CO	Alcohol
CCC(COC1CCCCC1C(C)(C)C)O	Alcohol
CCC(O)=O	CarboxylicAcid
CCC(O)C(/C)=C/C1(C)CC2CC1C=C2	Alcohol
CCC(O)C(C)=O	Alcohol
CCC(O)C=C	Alcohol
CCC(O)c1ccccc1	Alcohol
CCC(O)CC	Alcohol
CCC(O)Cc1ccccc1	Alcohol
CCC(O)CCC1C(C)CCCC1(C)C	Alcohol
CCC/C=C/C=C/CO	Alcohol
CCC/C=C/C=O	Aldehyde
CCC/C=C/C=O	Aldehyde
CCC/C=C/CC1CCCC1O	Alcohol
CCC/C=C/CCCCC(=O)O	CarboxylicAcid
CCC/C=C/CCCCC=O	Aldehyde
CCC/C=C/CO	Alcohol
CCC/C=C/CO	Alcohol
CCC/C=C/COC(=O)c1ccccc1O	Alcohol
CCC/C=C\CCCCC=O	Aldehyde
CCC/C=C\CCCO	Alcohol
CCC[C@@H](CCO)S	Alcohol
CCC[C@](C)(CCO)S	Alcohol
CCC[C@H](CCO)S	Alcohol
CCC[C@H](CCO)SC	Alcohol
CCC\C=C(/C)C([O-])=O	CarboxylicAcid
CCC\C=C/CCO	Alcohol
CCC\C=C/CO	Alcohol
CCC\C=C\C([O-])=O	CarboxylicAcid
CCC\C=C\C=C\C=O	Aldehyde
CCC\C=C\C=C\C=O	Aldehyde
CCC\C=C\C=C\CCCO	Alcohol
CCC=CC=CCO	Alcohol
CCC=CCC=CC=CC=O	Aldehyde
CCC=CCC=CCCC=O	Aldehyde
CCC=CCC=CCCO	Alcohol
CCC=O	Aldehyde
CCC1(C2(CCCC1(CC2)C)C)O	Alcohol
CCC1(O)C(C)(C)C2CCC1(C)C2	Alcohol
CCC1(O)C(C)(C)C2CCC1(C)C2	Alcohol
CCC1=C(O)C(=O)C(C)O1	Alcohol
CCC1=C(O)C(=O)CC1	Alcohol
CCC1=C(O)C(=O)CC1C	Alcohol
CCC12CCC(C1)C(C2)C3(CCCCC3)O	Alcohol
CCC1C(=NC(S1)CC(C)C)C	Amine
CCC1C(=O)C(=CO1)CO	Alcohol
CCC1CC(=C(O)C1=O)C	Alcohol
CCC1CC(=O)C(=C1C)O	Alcohol
CCc1ccc(C=O)cc1	Aldehyde
CCc1ccc(CC(C)(C)C=O)cc1	Aldehyde
CCc1ccc(O)c(OC)c1	Alcohol
CCc1ccc(O)cc1	Alcohol
CCc1cccc(O)c1	Alcohol
CCc1ccccc1O	Alcohol
CCC1N=C(C(S1)C)C	Amine
CCC1N=C(CS1)C	Amine
CCC1NC(SC(S1)CC)CC	Amine
CCC1OC(=C(O)C1=O)C	Alcohol
CCC1OC(=O)C(=C1C)O	Alcohol
CCc1sc(C=O)cc1	Aldehyde
CCCC(C)(CCO)S	Alcohol
CCCC(C)(CCO)S	Alcohol
CCCC(C)C(O)=O	CarboxylicAcid
CCCC(C)C=Nc1ccccc1C(=O)OC	Amine
CCCC(C)C=O	Aldehyde
CCCC(C)O	Alcohol
CCCC(C=C)O	Alcohol
CCCC(C=C)O	Alcohol
CCCC(CC(=O)OC)O	Alcohol
CCCC(CC(C)S)O	Alcohol
CCCC(CC)CCC(=O)O	CarboxylicAcid
CCCC(CC=O)SC	Aldehyde
CCCC(CCC1C(CCCC1(C)C)C)O	Alcohol
CCCC(CCCC(=O)OCC)O	Alcohol
CCCC(CCO)SC	Alcohol
CCCC(O)=O	CarboxylicAcid
CCCC(O)C(=O)CCC	Alcohol
CCCC(O)CC	Alcohol
CCCC(O)CC(=O)OCC	Alcohol
CCCC(O)Cc1ccccc1	Alcohol
CCCC(S)CCO	Alcohol
CCCC/C=C/C(O)=O	CarboxylicAcid
CCCC/C=C/CC(O)=O	CarboxylicAcid
CCCC/C=C/CCCC(=O)O	CarboxylicAcid
CCCC/C=C/CCCC(=O)OC(CCCC)CCCCC(=O)O	CarboxylicAcid
CCCC/C=C/CCO	Alcohol
CCCC/C=C\CCCC(=O)O	CarboxylicAcid
CCCC[C@@H](C)C([O-])=O	CarboxylicAcid
CCCC[C@@H](C)CCC([O-])=O	CarboxylicAcid
CCCC[C@@H](C)CCC(=O)O	CarboxylicAcid
CCCC[C@@H](CC)CCC([O-])=O	CarboxylicAcid
CCCC[C@H](C)CCC(=O)O	CarboxylicAcid
CCCC[C@H](CC)O	Alcohol
CCCC\C(=C\C)C=O	Aldehyde
CCCC\C(C=O)=C/c1ccccc1	Aldehyde
CCCC\C=C(/CC)C=O	Aldehyde
CCCC\C=C/CCCCO	Alcohol
CCCC\C=C\C=C\C=O	Aldehyde
CCCC\C=C\C=C\CO	Alcohol
CCCC\C=C\C=O	Aldehyde
CCCC\C=C\C=O	Aldehyde
CCCC\C=C\CCCCO	Alcohol
CCCC\C=C\CO	Alcohol
CCCC=CC=O	Aldehyde
CCCC=CCCCO.CC(=O)O	CarboxylicAcid, Alcohol
CCCC=O	Aldehyde
CCCC1=CC=C(S1)C=O	Aldehyde
CCCC1C2CC(C=C2)C1C=O	Aldehyde
CCCC1CC=C(C(S1)CCC)C=O	Aldehyde
CCCc1ccc(O)c(OC)c1	Alcohol
CCCc1ccc(O)cc1	Alcohol
CCCc1ccccc1O	Alcohol
CCCCC(C(C)CCC)O	Alcohol
CCCCC(C)O	Alcohol
CCCCC(C)O	Alcohol
CCCCC(C)O	Alcohol
CCCCC(CC)C(O)=O	CarboxylicAcid
CCCCC(CC)CCC=O	Aldehyde
CCCCC(CC)CO	Alcohol
CCCCC(CC)COC(=O)c1ccccc1O	Alcohol
CCCCC(CC=O)SC	Aldehyde
CCCCC(CO)C(C)=O	Alcohol
CCCCC(O)\C=C\C	Alcohol
CCCCC(O)=O	CarboxylicAcid
CCCCC(O)C(=O)OCC	Alcohol
CCCCC(O)C=C	Alcohol
CCCCC(O)CC	Alcohol
CCCCC(O)Cc1ccccc1	Alcohol
CCCCC/C(C=O)=C/c1ccccc1	Aldehyde
CCCCC/C=C(\C)/C=O	Aldehyde
CCCCC/C=C/C([O-])=O	CarboxylicAcid
CCCCC/C=C/C(O)CC=C	Alcohol
CCCCC/C=C/C=C/C=O	Aldehyde
CCCCC/C=C/C=C/C=O	Aldehyde
CCCCC/C=C/C=C/CO	Alcohol
CCCCC/C=C/C=C/CO	Alcohol
CCCCC/C=C/CC\C=C\C=O	Aldehyde
CCCCC/C=C/CCC=O	Aldehyde
CCCCC/C=C/CCC=O	Aldehyde
CCCCC/C=C/CCO	Alcohol
CCCCC/C=C\C/C=C\CCC=O	Aldehyde
CCCCC/C=C\C\C=C/C=C/C=O	Aldehyde
CCCCC/C=C\C=C/C=O	Aldehyde
CCCCC/C=C\CCCCCCC=O	Aldehyde
CCCCC[C@@H](C)C([O-])=O	CarboxylicAcid
CCCCC[C@@H](C)CCC([O-])=O	CarboxylicAcid
CCCCC[C@@H](C=C)O	Alcohol
CCCCC[C@H](C=C)O	Alcohol
CCCCC\C(CO)=C/c1ccccc1	Alcohol
CCCCC\C=C(/C)C=O	Aldehyde
CCCCC\C=C(/CCCC)C=O	Aldehyde
CCCCC\C=C/C=C/C=O	Aldehyde
CCCCC\C=C/C=O	Aldehyde
CCCCC\C=C/CC=O	Aldehyde
CCCCC\C=C/CCC(O)=O	CarboxylicAcid
CCCCC\C=C/CCO	Alcohol
CCCCC\C=C\C=O	Aldehyde
CCCCC\C=C\C=O	Aldehyde
CCCCC\C=C\CCCO	Alcohol
CCCCC\C=C\CO	Alcohol
CCCCC\C=C\CO	Alcohol
CCCCC=CC(C)O	Alcohol
CCCCC=O	Aldehyde
CCCCC1C(O1)C=O	Aldehyde
CCCCCC(/C(=C/CC)/C)O	Alcohol
CCCCCC(=CC1=CC=C(C=C1)C)C=O	Aldehyde
CCCCCC(=O)C(C)(C(=O)C)O	Alcohol
CCCCCC(=O)CCCC(O)=O	CarboxylicAcid
CCCCCC(=O)OCC(C)O	Alcohol
CCCCCC(C(=O)C)O	Alcohol
CCCCCC(C)O	Alcohol
CCCCCC(C)O	Alcohol
CCCCCC(C)O	Alcohol
CCCCCC(CC=O)S	Aldehyde
CCCCCC(CCCC(=O)OCC)O	Alcohol
CCCCCC(CCCC(=O)OCC1COC(O1)(C)C)O	Alcohol
CCCCCC(CO)C(C)=O	Alcohol
CCCCCC(O)=O	CarboxylicAcid
CCCCCC(O)C=C	Alcohol
CCCCCC(O)CC	Alcohol
CCCCCC(O)CC(=O)OCC	Alcohol
CCCCCC(O)CCCC(=O)OCC(O)CO	Alcohol
CCCCCC/C=C/C=C/C=O	Aldehyde
CCCCCC/C=C/C=C/C=O	Aldehyde
CCCCCC/C=C/CCC=O	Aldehyde
CCCCCC/C=C/CO	Alcohol
CCCCCC/C=C/CO	Alcohol
CCCCCC[C@@H](C)O	Alcohol
CCCCCC\C(C=Nc1ccccc1C(=O)OC)=C/c2ccccc2	Amine
CCCCCC\C(C=O)=C/c1ccccc1	Aldehyde
CCCCCC\C=C/C(O)=O	CarboxylicAcid
CCCCCC\C=C/C=C\CO	Alcohol
CCCCCC\C=C/C=O	Aldehyde
CCCCCC\C=C/C=O	Aldehyde
CCCCCC\C=C/CO	Alcohol
CCCCCC\C=C\C=O	Aldehyde
CCCCCC=CCC=CCO	Alcohol
CCCCCC=O	Aldehyde
CCCCCC1C(O1)C=CC=O	Aldehyde
CCCCCC1C(O1)C=O	Aldehyde
CCCCCC1CCCC1O	Alcohol
CCCCCCC(C)C=O	Aldehyde
CCCCCCC(C)O	Alcohol
CCCCCCC(CCOC(=O)C)O	Alcohol
CCCCCCC(CO)C(C)=O	Alcohol
CCCCCCC(O)=O	CarboxylicAcid
CCCCCCC(O)C=C	Alcohol
CCCCCCC(O)CC	Alcohol
CCCCCCC(O)Cc1ccccc1	Alcohol
CCCCCCC/C=C/C(=O)O	CarboxylicAcid
CCCCCCC/C=C/C(O)=O	CarboxylicAcid
CCCCCCC/C=C/C=C/C=O	Aldehyde
CCCCCCC/C=C\CCC=O	Aldehyde
CCCCCCC\C(C=O)=C/c1ccccc1	Aldehyde
CCCCCCC\C=C/C=O	Aldehyde
CCCCCCC\C=C/C=O	Aldehyde
CCCCCCC\C=C\C=C\CO	Alcohol
CCCCCCC\C=C\C=O	Aldehyde
CCCCCCC\C=C\CO	Alcohol
CCCCCCC\C=C\CO	Alcohol
CCCCCCC=O	Aldehyde
CCCCCCC1OCC(CO)O1	Alcohol
CCCCCCCC(C)O	Alcohol
CCCCCCCC(O)=O	CarboxylicAcid
CCCCCCCC(O)C=C	Alcohol
CCCCCCCC(O)CC	Alcohol
CCCCCCCC(O)CCCC(=O)OCC(O)CO	Alcohol
CCCCCCCC/C=C/CCCCCCCC(O)=O	CarboxylicAcid
CCCCCCCC/C=C/CO	Alcohol
CCCCCCCC\C=C/CCCCCCCC(=O)OCC(O)[C@H]1OC[C@@H](O)[C@@H]1O	Alcohol
CCCCCCCC\C=C\C=O	Aldehyde
CCCCCCCC\C=C\C=O	Aldehyde
CCCCCCCC\C=C\C=O	Aldehyde
CCCCCCCC\C=C\CC=O	Aldehyde
CCCCCCCC\C=C\CO	Alcohol
CCCCCCCC=Nc1ccccc1C(=O)OC	Amine
CCCCCCCC=O	Aldehyde
CCCCCCCCC(=O)NCc1ccc(O)c(OC)c1	Alcohol
CCCCCCCCC(C)C=O	Aldehyde
CCCCCCCCC(CC)C(O)=O	CarboxylicAcid
CCCCCCCCC(O)=O	CarboxylicAcid
CCCCCCCCC/C=C/CO	Alcohol
CCCCCCCCC\C=C/C=O	Aldehyde
CCCCCCCCC\C=C\C=O	Aldehyde
CCCCCCCCC\C=C\CO	Alcohol
CCCCCCCCC=NC1=CC=CC=C1C(=O)OC	Amine
CCCCCCCCC=O	Aldehyde
CCCCCCCCCC(C)C=O	Aldehyde
CCCCCCCCCC(C)O	Alcohol
CCCCCCCCCC(O)=O	CarboxylicAcid
CCCCCCCCCC/C=C/CO	Alcohol
CCCCCCCCCC\C=C\C=O	Aldehyde
CCCCCCCCCC\C=C\C=O	Aldehyde
CCCCCCCCCC=Nc1ccccc1C(=O)OC	Amine
CCCCCCCCCC=O	Aldehyde
CCCCCCCCCCC(O)=O	CarboxylicAcid
CCCCCCCCCCC/C=C/C=O	Aldehyde
CCCCCCCCCCC\C=C\C=O	Aldehyde
CCCCCCCCCCC=O	Aldehyde
CCCCCCCCCCCC(O)=O	CarboxylicAcid
CCCCCCCCCCCC=O	Aldehyde
CCCCCCCCCCCCC(O)=O	CarboxylicAcid
CCCCCCCCCCCCC=O	Aldehyde
CCCCCCCCCCCCCC(O)=O	CarboxylicAcid
CCCCCCCCCCCCCC=O	Aldehyde
CCCCCCCCCCCCCCCC(O)=O	CarboxylicAcid
CCCCCCCCCCCCCCCCCC(=O)OCC(O)CO	Alcohol
CCCCCCCCCCCCCCCCCC(O)=O.CC(O)CO	CarboxylicAcid, Alcohol
CCCCCCCCCCCCCCCCO	Alcohol
CCCCCCCCCCCCCCCCOC(=O)C(C)O	Alcohol
CCCCCCCCCCCCCCO	Alcohol
CCCCCCCCCCCCO	Alcohol
CCCCCCCCCCCCOC(=O)C(C)O	Alcohol
CCCCCCCCCCCO	Alcohol
CCCCCCCCCCO	Alcohol
CCCCCCCCCCOC(=O)c1ccccc1N	Amine
CCCCCCCCCCOCC=O	Aldehyde
CCCCCCCCCO	Alcohol
CCCCCCCCCOC(=O)C1=CC=CC=C1N	Amine
CCCCCCCCO	Alcohol
CCCCCCCCOCC=O	Aldehyde
CCCCCCCO	Alcohol
CCCCCCCOCC(=O)CO	Alcohol
CCCCCCN	Amine
CCCCCCO	Alcohol
CCCCCCOC(=O)C(C)O	Alcohol
CCCCCCOC(=O)c1ccccc1O	Alcohol
CCCCCN	Amine
CCCCCO	Alcohol
