cas_number,new_descriptors_added
123-86-4,"['sucre_cuit', 'chimique', 'empyreumatique', 'vegetal', 'frais', 'vegetal_vert', 'cuit']"
123-92-2,"['fruit_exotique', 'chimique', 'vegetal', 'frais', 'vegetal_vert']"
123-96-6,"['fleur_du_jardin', 'fruite', 'floral', 'vegetal_vert', 'aldehyde_frais', 'fruit_exotique', 'banane', 'moisi', 'vegetal', 'aldehyde', 'gras', 'fermentaire']"
124-06-1,"['lactique', 'floral', 'fleur_du_jardin']"
124-07-2,"['lactique', 'doux', 'vegetal', 'aldehyde', 'vegetal_vert', 'fermentaire']"
124-12-9,"['frais', 'vegetal_vert', 'vegetal']"
124-13-0,"['vegetal', 'fruite', 'vegetal_vert', 'aldehyde_frais']"
124-19-6,"['vegetal_sec', 'citronne', 'doux', 'fruit_sec', 'fleur_du_jardin', 'legume', 'balsamique', 'fruite', 'fleur_d_arbuste', 'floral', 'vegetal_vert', 'lactone', 'aldehyde_frais', 'boise', 'fruit_exotique', 'cucurbitacee', 'oleagineux', 'peponide', 'vegetal', 'coumarine', 'zeste_agrume']"
124-25-4,"['fruit_a_pepins', 'vegetal_sec', 'doux', 'amine', 'agrume', 'fruit_sec', 'balsamique', 'frais', 'fruit_exotique', 'musque', 'animal', 'vegetal', 'oleagineux', 'coumarine']"
124-76-5,"['chimique', 'doux', 'vegetal', 'aldehyde', 'frais', 'vegetal_vert', 'plante_aromatique', 'medicinal', 'aldehyde_frais', 'gras', 'phenole']"
125-12-2,"['resineux', 'fruite', 'menthe', 'frais', 'vegetal_vert', 'aldehyde_frais', 'phenole', 'chimique', 'bois', 'vegetal', 'aldehyde', 'medicinal', 'gras']"
126-64-7,"['fruit_a_pepins', 'citronne', 'fleur_du_jardin', 'agrume', 'fleur_d_arbre', 'fruit_a_noyau', 'vegetal', 'aldehyde', 'fleur_d_arbuste', 'frais', 'vegetal_vert', 'aldehyde_frais', 'gras']"
126-90-9,"['fleur_d_arbuste', 'agrume', 'fruite']"
126-91-0,"['bois', 'vegetal', 'fruite', 'fleur_d_arbuste', 'fruit_noir']"
127-17-3,"['doux', 'sucre_cuit', 'chimique', 'fermentaire', 'empyreumatique', 'cuit']"
127-41-3,"['fleur_du_jardin', 'fruit_rouge', 'fruit_noir']"
127-42-4,"['vegetal_sec', 'sucre_cuit', 'fleur_du_jardin', 'fruit_cuit', 'empyreumatique', 'vegetal', 'cuit']"
127-43-5,"['vegetal_sec', 'lactique', 'fleur_du_jardin', 'vegetal', 'fruite']"
127-51-5,"['vegetal_sec', 'sucre_cuit', 'fleur_du_jardin', 'frais', 'vegetal_vert', 'aldehyde_frais', 'fruit_rouge', 'fruit_cuit', 'empyreumatique', 'vegetal', 'aldehyde', 'gras', 'cuit']"
127-91-3,"['vegetal_sec', 'doux', 'vegetal_vert', 'plante_aromatique', 'phenole', 'chimique', 'bois', 'vegetal', 'medicinal']"
128-37-0,"['chimique', 'vegetal', 'menthe', 'frais', 'vegetal_vert', 'medicinal']"
128-50-7,"['resineux', 'boise', 'bois', 'vegetal', 'fruite', 'aldehyde', 'frais', 'vegetal_vert', 'aldehyde_frais', 'gras', 'phenole']"
128-51-8,"['resineux', 'citronne', 'bois', 'agrume', 'vegetal', 'fruite', 'aldehyde', 'fleur_d_arbuste', 'frais', 'floral', 'vegetal_vert', 'aldehyde_frais', 'gras', 'phenole']"
133-18-6,"['fruit_a_pepins', 'fleur_du_jardin', 'agrume', 'fleur_d_arbre', 'fleur_d_arbuste', 'mielle']"
134-09-8,"['fruit_a_pepins', 'vegetal', 'fruite', 'menthe', 'frais', 'vegetal_vert']"
134-20-3,"['fruit_a_pepins', 'fleur_d_arbre', 'mielle', 'fermentaire']"
134-28-1,"['frais', 'vegetal_vert', 'vegetal']"
134-96-3,"['vegetal_sec', 'fruit_sec', 'torrefie', 'lacte', 'balsamique', 'fruite', 'frais', 'lactone', 'chimique', 'empyreumatique', 'vegetal', 'oleagineux', 'malte', 'gras', 'coumarine']"
135-02-4,"['amande_amere', 'fruit_sec', 'boise', 'fruit_a_coque', 'oleagineux', 'fruite', 'balsamique', 'fleur_d_arbuste', 'gras', 'fermentaire']"
135-79-5,"['fruit_sec', 'vegetal', 'oleagineux', 'fruite', 'aldehyde', 'mineral', 'frais', 'metal', 'vegetal_vert', 'aldehyde_frais', 'gras']"
136-60-7,"['doux', 'boise']"
137-00-8,"['fruit_sec', 'empyreumatique', 'oleagineux', 'fruite', 'malte', 'mineral', 'metal', 'fermentaire', 'cereale']"
137-03-1,"['fleur_d_arbuste', 'floral', 'lactone', 'gras', 'fruit_a_noyau']"
137-06-4,"['cuit', 'alliace', 'animal', 'empyreumatique', 'legume', 'vegetal', 'mineral', 'metal', 'produit_petrolier', 'fermentaire']"
137-32-6,"['doux', 'torrefie', 'alcool_de_fut', 'balsamique', 'fruite', 'frais', 'floral', 'boise', 'solvant', 'phenole', 'chimique', 'animal', 'boissons_alcoolisees', 'empyreumatique', 'malte', 'boisson_fermentee', 'medicinal', 'fermentaire']"
138-22-7,"['fruit_a_pepins', 'vegetal_sec', 'doux', 'fruit_sec', 'balsamique', 'frais', 'floral', 'vegetal_vert', 'boise', 'chimique', 'boissons_alcoolisees', 'vegetal', 'peponide', 'aldehyde', 'boisson_fermentee', 'oleagineux', 'gras', 'coumarine', 'fermentaire']"
138-23-8,"['fleur_du_jardin', 'vegetal', 'aldehyde', 'fleur_d_arbuste', 'vegetal_vert', 'gras']"
138-86-3,"['resineux', 'fruite', 'frais', 'vegetal_vert', 'plante_aromatique', 'aldehyde_frais', 'phenole', 'chimique', 'bois', 'vegetal', 'aldehyde', 'medicinal', 'gras']"
139-45-7,"['fruit_sec', 'oleagineux']"
139-70-8,"['vegetal', 'aldehyde', 'fleur_d_arbuste', 'vegetal_vert', 'mielle', 'aldehyde_frais', 'gras']"
139-85-5,"['lactone', 'doux', 'chimique', 'phenole', 'fruit_a_noyau', 'fruite']"
140-10-3,['boise']
140-11-4,"['fleur_d_arbuste', 'boise']"
140-25-0,"['chimique', 'legume', 'vegetal', 'aldehyde', 'frais', 'vegetal_vert', 'solvant']"
140-26-1,"['fruit_exotique', 'fruit_a_pepins', 'fruit_a_noyau', 'fleur_d_arbuste', 'lactone', 'mielle', 'fruit_noir']"
140-27-2,"['fruit_a_pepins', 'pomme', 'chimique', 'boissons_alcoolisees', 'peponide', 'boisson_fermentee', 'floral', 'mielle', 'fruit_rouge', 'baie', 'fruit_noir']"
140-39-6,"['floral', 'fleur_du_jardin', 'gras']"
140-67-0,"['vegetal_sec', 'terreux', 'legume', 'balsamique', 'frais', 'racine', 'vegetal_vert', 'plante_aromatique', 'aldehyde_frais', 'boise', 'lactone', 'anise', 'legume_vert', 'bois', 'vegetal', 'aldehyde', 'gras', 'coumarine']"
140-88-5,['chimique']
141-05-9,['fruit_exotique']
141-06-0,"['fruit_exotique', 'chimique', 'mineral', 'frais', 'metal', 'solvant']"
141-09-3,"['fleur_du_jardin', 'vegetal', 'fruite', 'fleur_d_arbuste', 'frais', 'vegetal_vert', 'fruit_rouge']"
141-10-6,"['terreux', 'boise', 'moisi', 'vegetal', 'fruite', 'aldehyde', 'frais', 'vegetal_vert', 'aldehyde_frais', 'fermentaire']"
141-11-7,"['fleur_d_arbuste', 'vegetal_vert', 'fleur_du_jardin', 'vegetal', 'fruite']"
141-12-8,"['fruit_a_pepins', 'vegetal', 'aldehyde', 'fleur_d_arbuste', 'vegetal_vert', 'gras']"
141-13-9,"['boise', 'fleur_du_jardin', 'vegetal', 'fleur_d_arbuste', 'vegetal_vert', 'metal', 'mineral', 'gras']"
141-14-0,"['doux', 'fleur_d_arbre', 'vegetal', 'fleur_d_arbuste', 'frais', 'vegetal_vert', 'mielle']"
141-15-1,"['doux', 'fleur_du_jardin', 'fleur_d_arbuste', 'boise']"
141-16-2,"['bois', 'fleur_du_jardin', 'vegetal', 'frais', 'vegetal_vert', 'boise']"
141-25-3,"['citronne', 'fleur_du_jardin', 'vegetal', 'fruite', 'fleur_d_arbuste', 'vegetal_vert', 'plante_aromatique']"
141-27-5,"['frais', 'citronne', 'fruite']"
141-78-6,"['fruit_a_pepins', 'alcool_de_fut', 'balsamique', 'frais', 'vegetal_vert', 'aldehyde_frais', 'boise', 'solvant', 'fruit_rouge', 'chimique', 'boissons_alcoolisees', 'vegetal', 'aldehyde', 'gras']"
141-79-7,"['lactique', 'doux', 'fruit_sec', 'torrefie', 'lacte', 'fruite', 'fermentaire', 'cacao', 'soufre', 'empyreumatique', 'vegetal', 'oleagineux', 'legumes_cuits', 'malte', 'gras', 'cuit']"
141-92-4,"['fleur_du_jardin', 'vegetal', 'fruite', 'aldehyde', 'fleur_d_arbuste', 'frais', 'vegetal_vert', 'gras']"
141-97-9,"['fruit_a_pepins', 'vegetal_vert', 'vegetal']"
142-19-8,"['boise', 'chimique', 'boissons_alcoolisees', 'alcool_de_fut', 'balsamique']"
142-47-2,"['empyreumatique', 'cuit']"
142-60-9,"['terreux', 'sucre_cuit', 'moisi', 'fruit_cuit', 'empyreumatique', 'vegetal', 'frais', 'vegetal_vert', 'fermentaire', 'fruit_rouge', 'cuit']"
142-62-1,"['lactique', 'animal', 'fermentaire']"
142-83-6,"['vegetal', 'peponide', 'vegetal_vert', 'gras']"
142-92-7,"['fruit_exotique', 'fruit_a_pepins', 'vegetal', 'vegetal_vert']"
143-07-7,"['fruit_exotique', 'vegetal_sec', 'boise', 'doux', 'fruit_sec', 'vegetal', 'fruite', 'balsamique', 'oleagineux', 'frais', 'lactone', 'coumarine']"
143-08-8,"['terreux', 'moisi', 'fleur_du_jardin', 'vegetal', 'fruite', 'fleur_d_arbuste', 'vegetal_vert', 'fermentaire']"
143-13-5,"['frais', 'vegetal_vert', 'vegetal']"
143-14-6,"['lactique', 'animal', 'chimique', 'vegetal', 'fruite', 'mineral', 'frais', 'metal', 'vegetal_vert', 'epice', 'phenole', 'cuir']"
144-39-8,"['citronne', 'doux', 'fleur_du_jardin', 'alcool_de_fut', 'balsamique', 'fleur_d_arbuste', 'vegetal_vert', 'aldehyde_frais', 'chimique', 'boissons_alcoolisees', 'vegetal', 'aldehyde', 'gras']"
145-39-1,"['musque', 'floral', 'animal']"
150-60-7,"['doux', 'sucre_cuit', 'empyreumatique', 'fume', 'vegetal', 'frais', 'vegetal_vert', 'phenole', 'cuit']"
150-78-7,"['vegetal_sec', 'legume', 'vegetal', 'fleur_d_arbuste', 'frais', 'floral', 'vegetal_vert', 'plante_aromatique', 'epice', 'legume_vert']"
150-84-5,"['fruit_a_pepins', 'citronne', 'bois', 'vegetal', 'fleur_d_arbuste', 'frais', 'vegetal_vert']"
150-86-7,"['doux', 'vegetal', 'fruite', 'frais', 'vegetal_vert', 'boise']"
150-90-3,"['empyreumatique', 'cuit']"
151-05-3,"['fruit_a_pepins', 'vegetal', 'fleur_d_arbuste', 'frais', 'vegetal_vert', 'boise']"
151-10-0,"['boissons_alcoolisees', 'fleur_d_arbre', 'boisson_fermentee', 'malte', 'floral', 'mielle', 'phenole', 'levure', 'fermentaire']"
151-19-9,"['fruite', 'fleur_d_arbuste', 'vegetal_vert', 'plante_aromatique', 'epice', 'aldehyde_frais', 'fruit_noir', 'bois', 'vegetal', 'aldehyde', 'gras']"
156-06-9,"['amande_amere', 'fruit_sec', 'fruit_a_coque', 'vegetal', 'oleagineux', 'fruite', 'aldehyde', 'frais', 'vegetal_vert', 'mielle', 'aldehyde_frais', 'gras']"
288-47-1,"['amine', 'fruit_sec', 'empyreumatique', 'oleagineux', 'fruite', 'gras', 'cuit']"
290-37-9,"['cereale_torrefiee', 'fruit_sec', 'empyreumatique', 'fruit_a_coque', 'oleagineux', 'fruite', 'malte', 'fruit_a_coque_torrefie', 'gras', 'cereale']"
326-61-4,"['sucre_cuit', 'fruit_cuit', 'empyreumatique', 'vegetal', 'aldehyde', 'fleur_d_arbuste', 'mineral', 'vegetal_vert', 'metal', 'gras', 'fruit_rouge', 'cuit']"
334-48-5,"['vegetal_vert', 'vegetal', 'aldehyde']"
334-49-6,"['lactone', 'gras', 'fruit_a_noyau']"
350-03-8,"['fruit_sec', 'empyreumatique', 'oleagineux', 'fruite', 'malte', 'fleur_d_arbuste', 'floral', 'pyrazique', 'gras', 'cereale']"
409-02-9,"['fruit_sec', 'empyreumatique', 'oleagineux', 'fruite', 'gras']"
431-03-8,"['lactique', 'sucre_cuit', 'empyreumatique', 'gras', 'cuit']"
432-25-7,"['vegetal_sec', 'chimique', 'animal', 'vegetal', 'aldehyde', 'fleur_d_arbuste', 'frais', 'floral', 'vegetal_vert', 'epice', 'aldehyde_frais', 'gras']"
458-36-6,"['cereale_torrefiee', 'torrefie', 'balsamique', 'creme', 'floral', 'boise', 'cereale', 'grille', 'empyreumatique', 'biscuit', 'malte', 'cuit']"
459-80-3,"['vegetal', 'aldehyde', 'frais', 'vegetal_vert', 'aldehyde_frais', 'fermentaire']"
464-43-7,"['resineux', 'boise', 'chimique', 'bois', 'vegetal', 'menthe', 'frais', 'vegetal_vert', 'medicinal', 'phenole']"
464-45-9,"['resineux', 'frais', 'vegetal_vert', 'epice', 'plante_aromatique', 'aldehyde_frais', 'phenole', 'chimique', 'bois', 'vegetal', 'aldehyde', 'medicinal', 'gras', 'fermentaire']"
464-48-2,"['chimique', 'vegetal', 'menthe', 'frais', 'vegetal_vert', 'medicinal', 'phenole']"
464-49-3,"['chimique', 'vegetal', 'aldehyde', 'frais', 'vegetal_vert', 'plante_aromatique', 'aldehyde_frais', 'gras']"
465-24-7,"['terreux', 'vegetal', 'foret']"
465-31-6,"['chimique', 'vegetal', 'menthe', 'frais', 'vegetal_vert', 'medicinal', 'phenole', 'fermentaire']"
469-61-4,"['resineux', 'bois', 'vegetal']"
470-67-7,"['resineux', 'boise', 'chimique', 'bois', 'vegetal', 'aldehyde', 'frais', 'vegetal_vert', 'plante_aromatique', 'medicinal', 'aldehyde_frais', 'gras', 'phenole']"
470-82-6,"['boise', 'chimique', 'bois', 'vegetal', 'aldehyde', 'frais', 'vegetal_vert', 'plante_aromatique', 'aldehyde_frais', 'gras', 'phenole']"
471-84-1,"['chimique', 'vegetal', 'menthe', 'frais', 'vegetal_vert', 'medicinal', 'phenole']"
472-66-2,"['chimique', 'fleur_du_jardin', 'phenole', 'vegetal', 'aldehyde', 'menthe', 'frais', 'floral', 'vegetal_vert', 'aldehyde_frais', 'gras']"
472-97-9,"['vegetal', 'foret']"
473-03-0,"['doux', 'animal', 'balsamique']"
473-15-4,"['frais', 'vegetal_vert', 'vegetal']"
473-62-1,"['resineux', 'menthe', 'frais', 'vegetal_vert', 'boise', 'phenole', 'chimique', 'bois', 'vegetal', 'medicinal']"
473-67-6,"['resineux', 'boise', 'chimique', 'bois', 'phenole', 'vegetal', 'aldehyde', 'vegetal_vert', 'aldehyde_frais', 'gras']"
475-20-7,"['resineux', 'balsamique', 'fleur_d_arbuste', 'frais', 'floral', 'vegetal_vert', 'aldehyde_frais', 'phenole', 'animal', 'bois', 'chimique', 'vegetal', 'aldehyde', 'gras']"
481-34-5,"['vegetal', 'aldehyde', 'frais', 'vegetal_vert', 'aldehyde_frais', 'gras']"
483-76-1,"['chimique', 'vegetal', 'aldehyde', 'menthe', 'frais', 'vegetal_vert', 'plante_aromatique', 'medicinal', 'aldehyde_frais', 'gras', 'phenole']"
484-12-8,"['vegetal', 'aldehyde', 'frais', 'vegetal_vert', 'aldehyde_frais', 'gras', 'fermentaire']"
488-10-8,"['vegetal_sec', 'vegetal', 'fruite', 'aldehyde', 'fleur_d_arbuste', 'frais', 'vegetal_vert', 'plante_aromatique', 'aldehyde_frais', 'gras']"
489-40-7,['doux']
489-86-1,"['doux', 'bois', 'empyreumatique', 'fume', 'balsamique', 'vegetal', 'phenole']"
490-03-9,"['vegetal', 'aldehyde', 'frais', 'vegetal_vert', 'plante_aromatique', 'aldehyde_frais', 'gras']"
491-01-0,"['vegetal', 'frais', 'vegetal_vert', 'plante_aromatique']"
491-02-1,"['menthe', 'frais', 'vegetal_vert', 'vegetal']"
491-07-6,"['chimique', 'vegetal', 'frais', 'vegetal_vert', 'plante_aromatique', 'medicinal', 'solvant', 'phenole']"
491-09-8,"['vegetal', 'frais', 'vegetal_vert', 'plante_aromatique']"
491-35-0,"['empyreumatique', 'vegetal', 'aldehyde', 'frais', 'vegetal_vert', 'aldehyde_frais', 'gras']"
494-08-6,"['boise', 'balsamique', 'doux']"
494-90-6,"['fruit_sec', 'empyreumatique', 'oleagineux', 'fruite', 'gras', 'fermentaire']"
495-40-9,"['fruit_sec', 'fruit_a_coque', 'fruite', 'menthe', 'frais', 'vegetal_vert', 'phenole', 'fruit_rouge', 'chimique', 'oleagineux', 'vegetal', 'medicinal', 'gras']"
495-61-4,['doux']
495-62-5,"['doux', 'vegetal', 'frais', 'vegetal_vert']"
495-76-1,"['floral', 'boise', 'balsamique']"
496-77-5,"['lactique', 'fruit_sec', 'gras', 'oleagineux', 'fruite']"
497-23-4,"['lactique', 'gras']"
498-00-0,"['vegetal_sec', 'lactique', 'sucre_cuit', 'fruit_sec', 'balsamique', 'fruite', 'frais', 'floral', 'lactone', 'boise', 'fruit_exotique', 'empyreumatique', 'vegetal', 'oleagineux', 'gras', 'coumarine', 'cuit']"
498-02-2,"['boise', 'balsamique']"
498-81-7,"['resineux', 'citronne', 'bois', 'agrume', 'vegetal', 'fruite', 'aldehyde', 'frais', 'vegetal_vert', 'aldehyde_frais', 'gras', 'phenole']"
499-12-7,"['cuit', 'doux', 'sucre_cuit', 'fruit_sec', 'empyreumatique', 'oleagineux', 'fruite', 'vegetal', 'gras', 'fermentaire']"
499-44-5,"['terreux', 'vegetal', 'foret']"
499-54-7,"['doux', 'sucre_cuit', 'boise', 'empyreumatique', 'balsamique', 'cuit']"
499-70-7,"['vegetal', 'aldehyde', 'frais', 'vegetal_vert', 'plante_aromatique', 'aldehyde_frais', 'gras']"
499-71-8,"['vegetal', 'frais', 'vegetal_vert', 'plante_aromatique']"
499-74-1,"['menthe', 'frais', 'vegetal_vert', 'vegetal']"
499-75-2,"['chimique', 'empyreumatique', 'fume', 'vegetal', 'aldehyde', 'menthe', 'frais', 'vegetal_vert', 'plante_aromatique', 'aldehyde_frais', 'gras']"
500-02-7,"['vegetal', 'aldehyde', 'frais', 'vegetal_vert', 'aldehyde_frais', 'gras', 'anise']"
501-19-9,"['fleur_du_jardin', 'floral']"
501-52-0,"['musque', 'animal', 'chimique', 'fleur_d_arbuste', 'floral', 'epice', 'medicinal', 'boise', 'phenole']"
501-92-8,"['chimique', 'vegetal', 'aldehyde', 'frais', 'vegetal_vert', 'aldehyde_frais', 'gras']"
502-47-6,"['vegetal_sec', 'citronne', 'fleur_d_arbuste', 'frais', 'vegetal_vert', 'plante_aromatique', 'aldehyde_frais', 'phenole', 'empyreumatique', 'fume', 'vegetal', 'peponide', 'aldehyde']"
502-61-4,"['vegetal_sec', 'citronne', 'doux', 'fleur_d_arbre', 'fleur_d_arbuste', 'vegetal_vert', 'plante_aromatique', 'aldehyde_frais', 'vegetal', 'aldehyde', 'mielle']"
502-69-2,"['fruit_a_pepins', 'legume', 'fruite', 'fleur_d_arbuste', 'frais', 'floral', 'vegetal_vert', 'plante_aromatique', 'aldehyde_frais', 'chimique', 'boissons_alcoolisees', 'vegetal', 'peponide', 'boisson_fermentee', 'aldehyde', 'gras', 'fermentaire']"
502-72-7,"['musque', 'floral']"
503-74-2,['animal']
505-10-2,"['alliace', 'empyreumatique', 'vegetal']"
505-20-4,"['mineral', 'metal', 'alliace', 'legume', 'vegetal']"
505-23-7,"['soufre', 'empyreumatique', 'legume', 'vegetal', 'mineral', 'metal']"
505-29-3,"['terreux', 'amine', 'legume', 'frais', 'viande_cuite', 'boise', 'coquillage', 'alliace', 'chimique', 'moisi', 'empyreumatique', 'vegetal', 'cuit']"
505-32-8,"['vegetal', 'fruite', 'aldehyde', 'frais', 'vegetal_vert', 'aldehyde_frais', 'gras']"
505-57-7,"['fruit_a_pepins', 'fruit_a_noyau', 'vegetal', 'frais', 'vegetal_vert']"
505-79-3,"['vegetal', 'mineral', 'crucifere', 'metal']"
505-90-8,"['frais', 'vegetal_vert', 'vegetal']"
507-09-5,['empyreumatique']
507-70-0,"['resineux', 'chimique', 'doux', 'bois', 'vegetal', 'menthe', 'frais', 'vegetal_vert', 'medicinal', 'phenole']"
511-02-4,"['doux', 'vegetal', 'balsamique', 'frais', 'vegetal_vert', 'plante_aromatique']"
512-13-0,"['resineux', 'citronne', 'fruite', 'frais', 'vegetal_vert', 'plante_aromatique', 'aldehyde_frais', 'phenole', 'chimique', 'bois', 'vegetal', 'aldehyde', 'medicinal', 'gras']"
513-44-0,"['soufre', 'crucifere', 'empyreumatique', 'vegetal']"
513-85-9,"['lactique', 'gras']"
513-86-0,['fermentaire']
515-00-4,"['resineux', 'chimique', 'bois', 'vegetal', 'frais', 'vegetal_vert', 'plante_aromatique', 'phenole']"
515-03-7,"['lactique', 'frais', 'vegetal_vert', 'plante_aromatique', 'aldehyde_frais', 'fromage', 'cuit', 'empyreumatique', 'vegetal', 'aldehyde', 'gras', 'fermentaire']"
515-69-5,"['doux', 'boise', 'epice']"
523-47-7,"['frais', 'vegetal_vert', 'vegetal']"
523-80-8,"['vegetal', 'aldehyde', 'frais', 'vegetal_vert', 'plante_aromatique', 'aldehyde_frais', 'gras']"
526-75-0,['fermentaire']
527-60-6,['empyreumatique']
529-01-1,"['vegetal', 'aldehyde', 'frais', 'vegetal_vert', 'aldehyde_frais', 'gras']"
531-26-0,"['medicinal', 'chimique', 'boise', 'phenole', 'doux']"
531-59-9,"['vegetal_sec', 'boise', 'vegetal', 'frais', 'lactone', 'coumarine']"
533-18-6,"['chimique', 'phenole', 'fruite']"
534-15-6,"['vegetal_sec', 'chimique', 'vegetal', 'fleur_d_arbuste', 'frais', 'floral', 'vegetal_vert', 'medicinal', 'solvant', 'phenole']"
534-22-5,"['lactique', 'doux', 'amande_amere', 'fruit_sec', 'torrefie', 'lacte', 'fruite', 'frais', 'vegetal_vert', 'solvant', 'chimique', 'empyreumatique', 'oleagineux', 'vegetal', 'malte', 'gras']"
536-50-5,"['vegetal_sec', 'amande_amere', 'fruit_sec', 'oleagineux', 'fruite', 'vegetal', 'fleur_d_arbuste', 'vegetal_vert', 'gras']"
536-59-4,"['fleur_du_jardin', 'vegetal', 'frais', 'vegetal_vert', 'gras']"
536-60-7,"['animal', 'fleur_du_jardin', 'phenole', 'vegetal', 'aldehyde', 'frais', 'floral', 'vegetal_vert', 'aldehyde_frais', 'anise']"
536-78-7,"['vegetal_sec', 'terreux', 'boise', 'doux', 'sucre_cuit', 'fruit_sec', 'phenole', 'empyreumatique', 'animal', 'fruit_a_coque', 'vegetal', 'foret', 'oleagineux', 'fruite', 'gras', 'cuit']"
538-65-8,"['boise', 'empyreumatique', 'torrefie', 'malte']"
538-74-9,['empyreumatique']
538-86-3,"['chimique', 'fleur_du_jardin', 'fleur_d_arbre', 'vegetal', 'frais', 'vegetal_vert', 'solvant']"
539-82-2,"['fruit_a_pepins', 'vegetal', 'frais', 'vegetal_vert', 'fruit_rouge']"
539-88-8,"['fruit_exotique', 'vegetal', 'peponide', 'frais', 'vegetal_vert']"
539-90-2,"['fruit_a_pepins', 'sucre_cuit', 'boise', 'chimique', 'boissons_alcoolisees', 'empyreumatique', 'alcool_de_fut', 'balsamique', 'fruit_rouge', 'cuit']"
540-07-8,"['fruit_exotique', 'fruit_a_pepins', 'boise', 'chimique', 'boissons_alcoolisees', 'alcool_de_fut', 'vegetal', 'peponide', 'balsamique', 'frais', 'vegetal_vert']"
540-18-1,['fruit_rouge']
540-42-1,"['boise', 'chimique', 'boissons_alcoolisees', 'alcool_de_fut', 'balsamique', 'vegetal', 'frais', 'vegetal_vert', 'solvant']"
540-63-6,"['empyreumatique', 'cuit']"
541-31-1,"['alliace', 'legume', 'vegetal']"
541-47-9,"['frais', 'vegetal_vert', 'vegetal']"
541-58-2,"['vegetal_sec', 'cereale_torrefiee', 'empyreumatique', 'torrefie', 'vegetal', 'malte', 'cereale']"
541-85-5,"['vegetal', 'aldehyde', 'frais', 'vegetal_vert', 'aldehyde_frais', 'gras']"
541-91-3,"['musque', 'vegetal', 'aldehyde', 'vegetal_vert']"
542-46-1,"['musque', 'vegetal', 'aldehyde', 'floral', 'vegetal_vert']"
542-55-2,"['boise', 'boissons_alcoolisees', 'alcool_de_fut', 'balsamique', 'solvant']"
542-85-8,"['soufre', 'alliace', 'legume', 'vegetal', 'crucifere']"
543-39-5,"['fleur_d_arbuste', 'fruite']"
543-49-7,"['citronne', 'agrume', 'vegetal', 'aldehyde', 'vegetal_vert', 'plante_aromatique', 'aldehyde_frais', 'gras']"
544-12-7,"['frais', 'vegetal_vert', 'vegetal']"
544-40-1,"['terreux', 'fleur_du_jardin', 'fleur_d_arbuste', 'frais', 'floral', 'vegetal_vert', 'racine', 'aldehyde_frais', 'soufre', 'alliace', 'chimique', 'vegetal', 'aldehyde', 'crucifere', 'gras']"
544-63-8,"['lactique', 'vegetal_sec', 'doux', 'fruit_sec', 'agrume', 'balsamique', 'fruite', 'frais', 'vegetal_vert', 'lactone', 'boise', 'fruit_exotique', 'vegetal', 'oleagineux', 'aldehyde', 'coumarine', 'fermentaire']"
546-49-6,"['doux', 'vegetal', 'fruite', 'aldehyde', 'frais', 'vegetal_vert', 'plante_aromatique', 'mielle', 'aldehyde_frais', 'gras']"
546-79-2,"['chimique', 'bois', 'vegetal', 'frais', 'vegetal_vert', 'plante_aromatique', 'medicinal', 'gras', 'phenole']"
546-80-5,"['resineux', 'bois', 'boise', 'vegetal']"
547-61-5,"['doux', 'legume', 'vegetal', 'frais', 'vegetal_vert', 'plante_aromatique', 'anise', 'legume_vert']"
547-63-7,"['fruit_exotique', 'fruit_a_pepins', 'chimique', 'frais', 'solvant']"
551-08-6,"['vegetal', 'aldehyde', 'frais', 'vegetal_vert', 'plante_aromatique', 'aldehyde_frais', 'gras']"
552-02-3,"['vegetal', 'aldehyde', 'frais', 'vegetal_vert', 'plante_aromatique', 'aldehyde_frais', 'gras']"
554-12-1,"['fruit_exotique', 'fruit_a_pepins', 'boise', 'chimique', 'doux', 'boissons_alcoolisees', 'alcool_de_fut', 'balsamique', 'solvant', 'fruit_rouge']"
554-14-3,"['empyreumatique', 'legume', 'vegetal', 'frais', 'crucifere', 'vegetal_vert']"
555-10-2,"['vegetal', 'frais', 'vegetal_vert', 'plante_aromatique']"
556-24-1,['fruit_a_pepins']
556-61-6,"['soufre', 'terreux', 'legume', 'vegetal', 'racine', 'crucifere']"
556-82-1,"['chimique', 'vegetal', 'fleur_d_arbuste', 'frais', 'floral', 'vegetal_vert', 'medicinal', 'solvant', 'phenole']"
557-00-6,['fruit_a_pepins']
557-48-2,"['cucurbitacee', 'fleur_du_jardin', 'empyreumatique', 'vegetal', 'fruite', 'peponide', 'aldehyde', 'frais', 'floral', 'vegetal_vert', 'aldehyde_frais', 'cuit']"
560-88-3,"['resineux', 'doux', 'pin', 'bois', 'fleur_du_jardin', 'vegetal', 'vegetal_vert', 'floral', 'phenole']"
562-74-3,"['chimique', 'vegetal', 'fruite', 'aldehyde', 'menthe', 'frais', 'vegetal_vert', 'medicinal', 'aldehyde_frais', 'gras', 'phenole', 'fermentaire']"
564-20-5,"['vegetal_sec', 'resineux', 'doux', 'bois', 'animal', 'moisi', 'vegetal', 'foret', 'balsamique', 'mineral', 'fermentaire']"
564-94-3,"['vegetal_sec', 'sucre_cuit', 'balsamique', 'fruite', 'frais', 'floral', 'vegetal_vert', 'lactone', 'plante_aromatique', 'phenole', 'chimique', 'fruit_cuit', 'empyreumatique', 'vegetal', 'medicinal', 'coumarine', 'cuit']"
