smiles,new_descriptors_added
CCCCCCCCCC(C)C=O,"['vegetal', 'mineral', 'balsamic', 'metal', 'dry vegetal', 'green vegetal', 'sulphur', 'woody', 'sweet', 'lactone']"
C=CCCCCCCCCCOC(C)=O,"['honeyed', 'bush flower', 'fermented', 'sweet']"
C=CC(C)(CCC=C(C)C)OC=O,"['fruity', 'floral', 'lemony', 'vegetal', 'aldehydic', 'green vegetal', 'bush flower']"
CC1=C(C=O)C(C)(C)CC=C1,"['floral', 'vegetal', 'mint', 'mineral', 'chemical', 'green vegetal', 'dry vegetal', 'metal']"
Cc1cccc(C)c1S,"['metal', 'empyreumatic', 'smoked', 'mineral']"
CC(C)COC(=O)c1ccccc1,"['fermented', 'vegetal', 'green vegetal', 'bush flower', 'fresh', 'garden flower', 'woody']"
CCCCCCCCOC(=O)Cc1ccccc1,"['honeyed', 'bush flower']"
CCC(=O)OCCCc1ccccc1,"['garden flower', 'woody', 'sweet']"
COc1ccc(COC=O)cc1,"['vegetal', 'balsamic', 'green vegetal', 'fresh', 'woody']"
CC1(C)C2CCC1(C)C(O)C2,"['wood', 'vegetal', 'chemical', 'phenolic', 'green vegetal', 'fresh', 'aromatic plant', 'resinous', 'sweet', 'medicinal']"
C=C(C)CCCC(C)CCOC(=O)C(C)C,"['bush flower', 'garden flower']"
C=C(C)CCCC(C)CCOC=O,"['vegetal', 'green vegetal', 'bush flower', 'garden flower']"
C=C(C)CCCC(C)CCOC(=O)CCC,"['bush flower', 'garden flower']"
CCCCCCCCOC(=O)CC,"['fermented', 'musty', 'red berry', 'vegetal', 'earthy', 'green vegetal', 'fresh']"
C=CC(C)(CCC=C(C)C)OC(=O)CC,"['lemony', 'citrus', 'balsamic', 'chemical', 'bush flower', 'garden flower', 'alcoholic beverages', 'barrel aged alcohol']"
CC1=C(CC=O)C(C)(C)CCC1,"['floral', 'vegetal', 'aldehydic', 'mint', 'chemical', 'phenolic', 'green vegetal', 'fatty', 'dry vegetal', 'fresh', 'garden flower']"
CC12CCCC(O)(C1)C1CC(C)(C)C1CC2,"['chemical', 'phenolic', 'medicinal']"
CC1=CC(O)C2CC1C2(C)C,"['wood', 'vegetal', 'chemical', 'phenolic', 'green vegetal', 'aromatic plant', 'resinous', 'woody', 'medicinal']"
CC1(C)C2CC=C(C=O)C1C2,"['vegetal', 'chemical', 'phenolic', 'green vegetal', 'fresh', 'aromatic plant', 'medicinal']"
CCCCOCc1ccccc1,"['bush flower', 'garden flower']"
CCCCOC(=O)CCCC,"['red berry', 'vegetal', 'chemical', 'solvent', 'fresh', 'green vegetal', 'tropical fruit']"
C=CCCC(=O)O,"['fermented', 'empyreumatic', 'cooked', 'dairy', 'sweet', 'fatty', 'cooked sugar']"
COC(=O)c1ccccc1OC,"['fermented', 'berry', 'fermented drink', 'chemical', 'alcoholic beverages', 'fresh', 'garden flower', 'black fruit']"
C=Cc1ccccc1OC,"['animal', 'fermented', 'fruity', 'dried fruit', 'vegetal', 'chemical', 'phenolic', 'solvent', 'fresh', 'green vegetal', 'fatty', 'oleaginous']"
COc1ccccc1OC(C)=O,"['empyreumatic', 'floral', 'chemical', 'balsamic', 'smoked', 'medicinal']"
Cc1ccccc1OC(=O)c1ccccc1O,"['vegetal', 'green vegetal', 'fresh', 'aromatic plant']"
CCC(=O)OCc1ccco1,"['empyreumatic', 'vegetal', 'fruit with pip', 'fatty', 'green vegetal', 'fresh', 'tropical fruit']"
CCCC(=O)OCc1ccco1,"['green vegetal', 'fresh', 'fruit with pip', 'vegetal']"
CCSC(C)=O,"['vegetable', 'empyreumatic', 'vegetal', 'alliaceous', 'sulphur']"
CCCCCCOC=O,"['vegetal', 'chemical', 'solvent', 'fresh', 'green vegetal', 'fruit with pip', 'tropical fruit', 'stone fruit']"
CCC(=O)OCC1CCCO1,"['oleaginous', 'empyreumatic', 'cooked', 'dried fruit', 'vegetal', 'green vegetal', 'tropical fruit', 'cooked sugar']"
CCCC(=O)OC(C)C,"['dairy', 'red berry', 'chemical', 'solvent', 'fresh', 'fatty', 'tropical fruit']"
CCCCCCCC(=O)OCCCCC,"['fermented', 'fermented drink', 'chemical', 'balsamic', 'alcoholic beverages', 'garden flower', 'barrel aged alcohol', 'woody']"
CC(=O)OCCc1scnc1C,"['fatty', 'fruity', 'dried fruit', 'oleaginous']"
CCC1OC(=O)C(O)=C1C,"['oleaginous', 'empyreumatic', 'cooked', 'dried fruit', 'fatty', 'cooked sugar']"
Cc1ccc(C=O)c(O)c1,"['cooked', 'bitter almond', 'cooked sugar', 'oleaginous', 'lactone', 'empyreumatic', 'nutty', 'dried fruit', 'vegetal', 'red berry', 'balsamic', 'dry vegetal', 'fresh', 'fatty', 'woody']"
CCCC(O)Cc1ccccc1,"['green vegetal', 'fresh', 'vegetal']"
CCCCCCC1CCCC(=O)O1,"['oleaginous', 'dairy', 'vegetal', 'coumarin', 'dried fruit', 'balsamic', 'dry vegetal', 'fresh', 'tropical fruit', 'stone fruit', 'woody', 'lactone']"
CC1CCC(=O)C1=O,"['empyreumatic', 'cooked', 'cooked sugar']"
COc1cc(C=O)ccc1OC(C)=O,"['balsamic', 'dairy', 'woody']"
CCCCCCC(=O)CC,"['fresh aldehydic', 'vegetal', 'aldehydic', 'green vegetal', 'fatty']"
CC(=O)c1cccn1C,"['fatty', 'fruity', 'dried fruit', 'oleaginous']"
O=C1CCSC1,"['empyreumatic', 'dairy', 'vegetal', 'green vegetal', 'fatty', 'fresh', 'sulphur']"
CCC(=O)c1ccc[nH]1,"['green vegetal', 'fresh', 'empyreumatic', 'pyrazic', 'vegetal']"
CSc1ccccc1O,"['vegetable', 'empyreumatic', 'cooked', 'vegetal', 'alliaceous', 'phenolic', 'sulphur', 'smoked', 'cooked sugar', 'sweet']"
CC(C)=CC1CC(C)=CCO1,"['vegetal', 'green vegetal', 'fresh', 'aromatic plant', 'garden flower']"
C=CCOC=O,"['chemical', 'solvent', 'fresh']"
CC(C)SCc1ccco1,"['vegetable', 'empyreumatic', 'vegetal', 'alliaceous', 'sulphur']"
CC1=CCC(CCO)C1(C)C,"['fruity', 'vegetal', 'mint', 'chemical', 'phenolic', 'green vegetal', 'fresh', 'medicinal']"
COC(=O)CC(C)CCC=C(C)C,"['fermented', 'vegetal', 'fermented drink', 'chemical', 'citrus', 'green vegetal', 'alcoholic beverages', 'fresh', 'garden flower', 'fruit with pip']"
CCCC(O)CC(=O)OCC,"['fermented', 'empyreumatic', 'floral', 'vegetal', 'fermented drink', 'chemical', 'fruit with pip', 'alcoholic beverages', 'green vegetal', 'dry vegetal', 'tropical fruit']"
CCCCCCCCOC(=O)CCCCCCC,"['oleaginous', 'dried fruit', 'vegetal', 'coumarin', 'balsamic', 'dry vegetal', 'fresh', 'tropical fruit', 'woody', 'lactone']"
CCCSC(C)=O,"['vegetal', 'green vegetal', 'sulphur']"
CC(=O)CC(=O)OCCC(C)C,"['floral', 'vegetal', 'fermented drink', 'chemical', 'solvent', 'fresh', 'alcoholic beverages', 'green vegetal']"
CCCCCCCCCCCCCC(C)=O,"['green vegetal', 'aromatic plant', 'empyreumatic', 'vegetal']"
CCCCCCCOC(=O)C(C)C,"['vegetal', 'red berry', 'green vegetal', 'fresh', 'fruit with pip', 'tropical fruit', 'stone fruit', 'lactone']"
CCCC=CC(=O)OC,"['fermented', 'vegetal', 'honeyed', 'green vegetal', 'tropical fruit']"
C=CCOC(=O)CC,"['vegetable', 'dried fruit', 'vegetal', 'chemical', 'solvent', 'fresh', 'fruit with pip', 'fatty', 'tropical fruit', 'sulphur', 'stone fruit', 'oleaginous', 'lactone']"
COC1=C(C)OC(C)C1=O,"['cooked', 'roasted', 'earthy', 'cooked sugar', 'oleaginous', 'fermented', 'empyreumatic', 'floral', 'vegetal', 'dried fruit', 'fermented drink', 'chemical', 'balsamic', 'dry vegetal', 'alcoholic beverages', 'fresh', 'fatty', 'malt', 'woody']"
COc1ccccc1OC(=O)Cc1ccccc1,"['empyreumatic', 'honeyed', 'fresh', 'smoked']"
C=CCOC(=O)c1ccco1,"['sweet', 'empyreumatic', 'cooked', 'cooked sugar']"
O=Cc1cc2ccccc2o1,"['cooked', 'bitter almond', 'oleaginous', 'cooked sugar', 'lactone', 'empyreumatic', 'dried fruit', 'vegetal', 'balsamic', 'dry vegetal', 'fresh', 'fatty', 'woody']"
CCCCCCCOC(=O)CCCCCCC,"['green vegetal', 'fermented', 'vegetal']"
C=CC(=O)CCCCC,"['fermented', 'cruciferous', 'vegetal', 'mineral', 'metal', 'sulphur', 'woody']"
CC(C)c1ccc(CC=O)cc1,"['green vegetal', 'fresh', 'fatty', 'vegetal']"
CCCCC1OC(=O)c2ccccc21,"['green vegetal', 'aromatic plant', 'vegetal']"
CCC(=O)OC1CCCCC1,"['green vegetal', 'fresh', 'tropical fruit', 'vegetal']"
CCCCCC(=O)OCCc1ccccc1,"['animal', 'vegetal', 'honeyed', 'green vegetal', 'bush flower', 'fresh', 'tropical fruit']"
CCCCCCCCCCCC(=O)OCCC(C)C,"['fruity', 'floral', 'dairy', 'fermented drink', 'chemical', 'phenolic', 'solvent', 'alcoholic beverages', 'fresh', 'stone fruit', 'medicinal', 'lactone']"
C=Cc1ccc(OC)c(OC)c1,"['empyreumatic', 'vegetal', 'chemical', 'green vegetal', 'fresh', 'smoked']"
CC(C)=CCCC(C)CCOCC=O,"['fruity', 'vegetal', 'honeyed', 'chemical', 'green vegetal', 'fatty', 'garden flower', 'bush flower', 'peponide']"
CCCOC(C)OCCc1ccccc1,"['fermented', 'vegetal', 'fermented drink', 'chemical', 'green vegetal', 'alcoholic beverages', 'fresh', 'garden flower']"
CCCCCCCCC(=O)C(C)=O,"['oleaginous', 'fruity', 'vegetal', 'coumarin', 'dried fruit', 'balsamic', 'green vegetal', 'dry vegetal', 'fresh', 'tropical fruit', 'woody', 'lactone']"
C=CCOC(=O)CCCC1CCCCC1,['tropical fruit']
C=CCOC(=O)CCCCCC1CCCCC1,"['stone fruit', 'lactone']"
C=CCOC(=O)CCCCC1CCCCC1,"['fruit with pip', 'tropical fruit', 'stone fruit', 'lactone']"
C=CCOC(=O)C(CC)CC,"['dried fruit', 'red berry', 'chemical', 'solvent', 'fresh', 'fatty', 'stone fruit', 'oleaginous', 'lactone']"
C=CCOC(=O)CCCCCCCC,"['oleaginous', 'fermented', 'floral', 'dairy', 'dried fruit', 'fermented drink', 'chemical', 'balsamic', 'alcoholic beverages', 'tropical fruit', 'barrel aged alcohol', 'woody']"
C=CCCCCCCCCC(=O)OCC=C,"['oleaginous', 'lactone', 'dried fruit', 'vegetal', 'coumarin', 'balsamic', 'dry vegetal', 'fresh', 'tropical fruit', 'woody']"
CCCCCCC(=O)OCCCCC,"['solvent', 'green vegetal', 'oleaginous', 'lactone', 'fermented', 'floral', 'lemony', 'vegetal', 'coumarin', 'dried fruit', 'citrus', 'fermented drink', 'chemical', 'balsamic', 'dry vegetal', 'fresh', 'alcoholic beverages', 'fatty', 'tropical fruit', 'woody', 'sweet']"
CCCCC(=O)OCCC(C)CCC=C(C)C,"['honeyed', 'bush flower', 'sweet']"
CCC(=O)OCc1ccc(OC)cc1,"['red berry', 'balsamic', 'fresh', 'stone fruit', 'woody', 'lactone']"
CCCCC(=O)OC1CC2CCC1(C)C2(C)C,"['wood', 'vegetal', 'mint', 'chemical', 'phenolic', 'green vegetal', 'fresh', 'dry vegetal', 'resinous', 'medicinal']"
CCCCCCCC(OC)OC,"['fruity', 'vegetal', 'balsamic', 'chemical', 'green vegetal', 'alcoholic beverages', 'garden flower', 'bush flower', 'barrel aged alcohol', 'woody', 'sweet']"
CCCCCCCCCCCC(=O)Oc1ccc(C)cc1,"['oleaginous', 'fruity', 'dried fruit', 'fatty', 'woody']"
C=CC(C)(CCC=C(C)C)OC(=O)CCCCCCC,"['green vegetal', 'fresh', 'vegetal']"
CC(C)C(=O)OC(C)(C)CCc1ccccc1,"['vegetal', 'honeyed', 'dry vegetal', 'green vegetal', 'fresh', 'garden flower', 'stone fruit', 'sweet']"
CCCC(=O)OC(CC)c1ccccc1,"['stone fruit', 'lactone']"
CCC(CC)COC(C)=O,"['chemical', 'solvent', 'fresh', 'fruit with pip', 'fatty', 'tropical fruit']"
CCOC(=O)CCc1ccco1,"['green vegetal', 'sulphur', 'root', 'earthy', 'vegetable', 'empyreumatic', 'cruciferous', 'floral', 'vegetal', 'chemical', 'fresh', 'alcoholic beverages', 'garden flower', 'tropical fruit', 'barrel aged alcohol']"
CCCCCCC#CC(=O)OCC,"['vegetable', 'fresh aldehydic', 'vegetal', 'aldehydic', 'green vegetal', 'fresh', 'fatty', 'garden flower', 'cucurbitacea']"
CCOC(=O)CCCc1ccccc1,"['empyreumatic', 'stone fruit']"
CCCCCCC(OC)OC,"['citrus', 'green vegetal', 'fresh', 'vegetal']"
CCCCCCOC(=O)CC(C)C,"['vegetal', 'red berry', 'green vegetal', 'fruit with pip']"
CCCCCCC1CC(OC(C)=O)CO1,"['stone fruit', 'lactone']"
CC(C)(Cc1ccccc1)OC=O,"['green vegetal', 'fresh', 'garden flower', 'floral', 'vegetal']"
CCOC(=O)CCC1CCCCC1,"['fruit with pip', 'tropical fruit', 'stone fruit', 'lactone']"
CCC(C)(O)CCc1ccccc1,['bush flower']
C=C(C)CCCC(C)CCOC(=O)Cc1ccccc1,"['vegetal', 'honeyed', 'green vegetal', 'fresh', 'bush flower', 'garden flower']"
OCCCCCc1ccccc1,"['fresh', 'bush flower', 'fruity', 'lemony']"
CCCCCCCCC#CC(=O)OC,"['green vegetal', 'fresh', 'garden flower', 'vegetal', 'dairy']"
CC(=O)c1cc(C)oc1C,"['animal', 'fermented', 'empyreumatic', 'fruity', 'floral', 'dried fruit', 'phenolic', 'fatty', 'malt', 'oleaginous']"
CCOCc1ccc(O)c(OC)c1,"['dairy', 'roasted', 'solvent', 'empyreumatic', 'cocoa', 'balsamic', 'chemical', 'alcoholic beverages', 'fresh', 'barrel aged alcohol', 'malt', 'smoked', 'milky', 'woody', 'medicinal']"
CCOC(=O)CCSC,"['vegetable', 'empyreumatic', 'cooked', 'vegetal', 'mineral', 'metal', 'tropical fruit', 'cooked sugar', 'sweet']"
CC1CC(C)C(=O)C1=O,"['oleaginous', 'empyreumatic', 'fruity', 'cooked', 'dried fruit', 'fatty', 'cooked sugar']"
COC(=O)CCSC,"['root', 'cruciferous', 'vegetal', 'alliaceous', 'green vegetal', 'fresh', 'sulphur', 'earthy']"
Cc1nc(C)c(C)s1,"['dairy', 'roasted', 'oleaginous', 'fermented', 'empyreumatic', 'fruity', 'dried fruit', 'vegetal', 'fatty', 'malt', 'milky', 'sweet']"
CCC(=O)CSC,"['sulphur', 'fermented', 'musty', 'cruciferous', 'vegetal', 'mineral', 'metal', 'fatty', 'root', 'woody', 'earthy']"
CSc1ccc(C)o1,"['vegetable', 'sulphur', 'empyreumatic', 'cruciferous', 'vegetal', 'root', 'earthy']"
CC(C)CC(=O)OCc1ccco1,"['fruit with pip', 'stone fruit']"
c1coc(CSCc2ccco2)c1,"['fermented', 'empyreumatic', 'musty', 'fruity', 'dried fruit', 'fatty', 'malt', 'woody', 'oleaginous']"
CC(=O)SCc1ccco1,"['empyreumatic', 'fruity', 'dried fruit', 'vegetal', 'fatty', 'sulphur', 'oleaginous']"
COCc1ccco1,['empyreumatic']
CSC(=O)c1ccco1,"['vegetable', 'fermented', 'cruciferous', 'vegetal', 'sulphur']"
Cc1ccc(C=O)s1,"['nutty', 'dried fruit', 'red berry', 'bitter almond', 'fatty', 'oleaginous']"
CC1SCCC1=O,"['empyreumatic', 'black fruit']"
C=CC1(C)CCC(C(=C)C)O1,"['wood', 'fruity', 'lemony', 'vegetal', 'citrus', 'green vegetal', 'aromatic plant', 'resinous', 'woody']"
Cc1cccc2nccnc12,"['vegetable', 'fermented', 'empyreumatic', 'fruity', 'dried fruit', 'vegetal', 'fatty', 'oleaginous']"
Cc1cnc(C(C)C)cn1,"['empyreumatic', 'fruity', 'dried fruit', 'vegetal', 'green vegetal', 'fresh', 'fatty', 'oleaginous']"
CC(C)Cc1cccnc1,"['green vegetal', 'fresh', 'vegetal']"
CCCCCC(=O)c1ccco1,"['vegetal', 'green vegetal', 'fresh', 'stone fruit', 'lactone']"
C=CCCCCCCCC(=O)O,"['fermented', 'dairy', 'vegetal', 'aldehydic', 'green vegetal', 'fresh']"
CC1=CCC(C(C)(C)OC(=O)c2ccccc2N)CC1,"['fermented', 'garden flower']"
CCC(C)C1CCCCC1=O,"['vegetal', 'chemical', 'phenolic', 'green vegetal', 'aromatic plant', 'medicinal']"
C=C(C)C1CC=C(COC(C)=O)CC1,"['green vegetal', 'fresh', 'garden flower', 'vegetal']"
C=C(COC(C)=O)C1CC=C(C)CC1,"['vegetal', 'green vegetal', 'fresh', 'aromatic plant']"
Cc1csc(C(C)C)n1,"['fermented', 'empyreumatic', 'dried fruit', 'vegetal', 'green vegetal', 'fresh', 'fatty', 'sulphur', 'stone fruit', 'oleaginous', 'lactone']"
CCOc1nccs1,"['fermented', 'empyreumatic', 'fruity', 'dried fruit', 'vegetal', 'alliaceous', 'green vegetal', 'fresh', 'fatty', 'sulphur', 'oleaginous']"
CCCCOC(=O)C(C)CC,"['fresh aldehydic', 'aldehydic', 'roasted', 'solvent', 'green vegetal', 'aromatic plant', 'lactone', 'empyreumatic', 'vegetal', 'chemical', 'fruit with pip', 'fresh', 'fatty', 'tropical fruit', 'malt', 'stone fruit']"
Cc1ccc(C=O)c(C)c1,"['oleaginous', 'fruity', 'nutty', 'dried fruit', 'red berry', 'floral', 'balsamic', 'bitter almond', 'fatty', 'woody']"
CCC(S)CS,"['alliaceous', 'vegetable', 'empyreumatic', 'sulphur', 'vegetal']"
CCCCCCCC1CC=CC(=O)O1,"['oleaginous', 'fruity', 'vegetal', 'coumarin', 'dried fruit', 'balsamic', 'dry vegetal', 'fresh', 'tropical fruit', 'woody', 'sweet']"
CCCCCCC1CCCCC(=O)O1,"['dairy', 'vegetal', 'green vegetal', 'aromatic plant', 'stone fruit', 'lactone']"
CCCCCC=CCCC=O,"['green vegetal', 'vegetal']"
CC(C)CC(=O)OC(C)C,"['fermented', 'floral', 'dairy', 'fermented drink', 'chemical', 'solvent', 'fresh', 'alcoholic beverages', 'fruit with pip', 'tropical fruit']"
CCc1nccnc1C(C)=O,"['vegetable', 'fermented', 'empyreumatic', 'fruity', 'dried fruit', 'vegetal', 'fatty', 'pyrazic', 'oleaginous']"
CSCCC(C)=O,"['metal', 'fermented', 'dairy', 'vegetal', 'mineral']"
C=CCSSSC,"['vegetable', 'dairy', 'vegetal', 'sulphur']"
CC1=CC2=CC(=O)CCC2CC1,"['oleaginous', 'lactone', 'dried fruit', 'vegetal', 'balsamic', 'dry vegetal', 'fresh', 'fatty', 'tropical fruit', 'woody', 'sweet']"
CC(=O)CCS,"['vegetable', 'vegetal', 'alliaceous', 'sulphur']"
CC(C)=C1CCC2(C)OC2C1=O,"['fruity', 'vegetal', 'green vegetal', 'fresh', 'aromatic plant', 'fruit with pip', 'tropical fruit']"
SCCc1cnccn1,"['vegetable', 'empyreumatic', 'cruciferous', 'sulphur', 'vegetal']"
Cc1ncc2c(n1)CSC2,"['fatty', 'empyreumatic', 'pyrazic', 'fruity', 'dried fruit', 'oleaginous']"
CC1=CCCC(C)(C)C12CCC(C)O2,"['vegetal', 'mineral', 'chemical', 'phenolic', 'green vegetal', 'dry vegetal', 'aromatic plant', 'metal', 'medicinal']"
Cc1ccccc1OC(=O)C(C)C,['chemical']
CCCCC(=O)OCc1ccco1,"['fermented', 'empyreumatic', 'cooked', 'dairy', 'fruit with pip', 'tropical fruit', 'cooked sugar']"
CC=C(C)C(=O)OCc1ccccc1,"['bitter almond', 'green vegetal', 'bush flower', 'oleaginous', 'fermented', 'fruity', 'musty', 'dried fruit', 'floral', 'vegetal', 'red berry', 'fatty', 'fresh', 'woody']"
COc1cnc(C)s1,"['green vegetal', 'fresh', 'cruciferous', 'sulphur', 'vegetal']"
CCNc1ccccc1C(=O)OCC,"['fermented', 'fermented drink', 'chemical', 'fruit with pip', 'alcoholic beverages']"
CCCCCCOC(=O)c1ccco1,"['vegetal', 'fruit with pip', 'green vegetal', 'fresh']"
CCCCCCCC(=O)OCc1ccco1,"['cooked', 'mineral', 'metal', 'oleaginous', 'cooked sugar', 'lactone', 'empyreumatic', 'dried fruit', 'vegetal', 'coumarin', 'balsamic', 'dry vegetal', 'fresh', 'fatty', 'tropical fruit', 'stone fruit', 'woody']"
CCn1cccc1C(C)=O,"['fatty', 'empyreumatic', 'fruity', 'dried fruit', 'oleaginous']"
CC(=O)CCSCCC(C)=O,"['green vegetal', 'vegetal']"
CCCCCCCC1CC(C)OC1=O,"['dairy', 'vegetal', 'dried fruit', 'green vegetal', 'fresh', 'stone fruit', 'oleaginous']"
C=CCSC(=O)CC,"['vegetable', 'vegetal', 'green vegetal', 'sulphur']"
CC(C)=CC(=O)OCCc1ccccc1,"['fermented', 'floral', 'vegetal', 'fermented drink', 'chemical', 'green vegetal', 'alcoholic beverages', 'fresh']"
CSCCCC=O,"['cruciferous', 'vegetal', 'alliaceous', 'sulphur']"
CCOC(=O)c1ccoc1-c1ccccc1,['red berry']
CC(=O)OC1(C(C)=O)CCCCC1,"['oleaginous', 'dried fruit', 'spicy', 'honeyed', 'chemical', 'phenolic', 'bush flower', 'fatty', 'woody', 'medicinal']"
CCc1nc(C)c(C)o1,"['green vegetal', 'fresh', 'fermented', 'dairy', 'vegetal']"
CC(O)C(C)SC(C)C(C)S,['empyreumatic']
Cc1ccc(OC(=O)CC(C)C)cc1,"['vegetal', 'dry vegetal']"
C=C(C)C1CCC(C)C1C=O,"['vegetal', 'chemical', 'phenolic', 'green vegetal', 'fresh', 'aromatic plant', 'medicinal']"
CC(=O)CCc1ccc2c(c1)OCO2,['red berry']
CC(=O)OC12CCCC(C)(CCC3C1CC3(C)C)C2,"['wood', 'vegetal', 'balsamic', 'resinous', 'sweet']"
CSSCc1ccco1,"['vegetable', 'empyreumatic', 'vegetal', 'sulphur']"
CCC(=O)SCc1ccco1,"['vegetable', 'empyreumatic', 'vegetal', 'sulphur']"
O=CSCc1ccco1,"['fatty', 'empyreumatic', 'fruity', 'dried fruit', 'oleaginous']"
SCc1cnccn1,"['vegetable', 'empyreumatic', 'cruciferous', 'cooked', 'vegetal', 'sulphur', 'cooked sugar', 'sweet']"
CCCCCC(CO)C(C)=O,['fermented']
C=C=CC(C)C(=O)OCC,"['vegetal', 'red berry', 'balsamic', 'chemical', 'fruit with pip', 'green vegetal', 'fresh', 'alcoholic beverages', 'barrel aged alcohol', 'woody', 'peponide']"
CCCCC(=O)C(CCC)Sc1ccoc1C,['empyreumatic']
Cc1occc1SC(C(=O)CC(C)C)C(C)C,"['vegetable', 'fruity', 'empyreumatic', 'vegetal', 'alliaceous', 'sulphur']"
C=C(CCCCC)C(C)=O,"['fermented', 'woody', 'earthy']"
C=CC(C)(CCC=C(C)C)OC(=O)CCC,"['lemony', 'honeyed', 'fruit with pip', 'fresh', 'tropical fruit', 'stone fruit', 'lactone']"
CC(S)C(=O)O,"['fermented', 'empyreumatic', 'dairy']"
CCC(=O)OC(C)(C)C1CC=C(C)CC1,"['green vegetal', 'fresh', 'garden flower', 'floral', 'vegetal']"
O=C(OCCc1ccccc1)c1ccccc1O,"['bush flower', 'garden flower', 'woody']"
CC(=O)OC1CCCCC1C(C)(C)C,"['lemony', 'vegetal', 'mint', 'citrus', 'chemical', 'phenolic', 'green vegetal', 'fruit with pip', 'medicinal']"
COC(OC)C(C)c1ccccc1,"['fermented', 'fruity', 'musty', 'vegetal', 'honeyed', 'green vegetal', 'fresh', 'garden flower', 'woody']"
COc1cc(CO)ccc1O,"['cooked', 'dairy', 'oleaginous', 'cooked sugar', 'lactone', 'empyreumatic', 'fruity', 'dried fruit', 'vegetal', 'coumarin', 'floral', 'dry vegetal', 'fresh', 'fatty', 'tropical fruit', 'woody']"
CC1CCC(C(C)C)OC(=O)C1,"['sweet', 'empyreumatic', 'cooked', 'cooked sugar']"
CSCCCN=C=S,"['sulphur', 'cruciferous', 'vegetal', 'mineral', 'metal', 'root']"
C=CCc1ccc(OC(=O)c2ccccc2)c(OC)c1,"['chemical', 'phenolic', 'medicinal', 'woody', 'sweet']"
CC1=CC(=O)CC(C)(C)C1=O,"['fermented', 'fruity', 'lemony', 'vegetal', 'honeyed', 'green vegetal', 'fresh', 'dry vegetal']"
COC(OC)c1ccccc1,"['bitter almond', 'green vegetal', 'oleaginous', 'fermented', 'vegetal', 'dried fruit', 'fermented drink', 'chemical', 'alcoholic beverages', 'fresh', 'fatty']"
C=C(C)c1ccc(C)cc1,"['wood', 'resinous', 'oleaginous', 'fermented', 'empyreumatic', 'fruity', 'dried fruit', 'lemony', 'vegetal', 'chemical', 'fresh', 'fatty', 'woody', 'medicinal']"
CC1(C)C2CCC1(C)C(OC=O)C2,"['wood', 'fermented', 'vegetal', 'chemical', 'phenolic', 'green vegetal', 'fresh', 'aromatic plant', 'resinous', 'sweet']"
CCCC(C)S,['sulphur']
CCCCCOC(=O)CCCC,"['chemical', 'solvent', 'fresh', 'fruit with pip']"
C=CCSSC,"['vegetable', 'vegetal', 'sulphur']"
CCCC(=O)SC,"['vegetable', 'fermented', 'empyreumatic', 'cruciferous', 'dairy', 'vegetal', 'roasted', 'alliaceous', 'sulphur', 'malt']"
CCC(C)COC(=O)CC(C)C,"['animal', 'fermented', 'floral', 'vegetal', 'dairy', 'fermented drink', 'chemical', 'balsamic', 'green vegetal', 'alcoholic beverages', 'fresh', 'fruit with pip', 'barrel aged alcohol', 'woody', 'sweet']"
CCCCCCCCC=CC=O,"['lemony', 'vegetal', 'green vegetal']"
C=Cc1ccc(O)cc1,"['chemical', 'fermented']"
CCc1ccc(O)c(OC)c1,"['empyreumatic', 'chemical', 'balsamic', 'smoked']"
CCOC(=O)C(CC)Cc1ccccc1,"['green vegetal', 'fresh', 'vegetal']"
CCC(O)C(C)=O,"['sweet', 'fatty', 'empyreumatic', 'cooked', 'dairy', 'cooked sugar']"
c1ccc(CCCC2CCCO2)cc1,"['fresh aldehydic', 'cooked', 'aldehydic', 'honeyed', 'green vegetal', 'cucurbitacea', 'cooked sugar', 'oleaginous', 'lactone', 'vegetable', 'empyreumatic', 'dried fruit', 'vegetal', 'fresh', 'stone fruit']"
Cc1ncsc1C,"['empyreumatic', 'fruity', 'dried fruit', 'vegetal', 'green vegetal', 'fresh', 'fatty', 'oleaginous']"
CCC(=O)C(=O)CC,"['oleaginous', 'empyreumatic', 'fruity', 'dairy', 'dried fruit', 'bitter almond', 'fatty', 'cooked sugar', 'sweet']"
CC(C)OC(=O)Cc1ccccc1,"['fermented', 'empyreumatic', 'dairy', 'cocoa', 'fermented drink', 'honeyed', 'chemical', 'roasted', 'alcoholic beverages', 'bush flower', 'malt', 'milky']"
CCCCCCCCCCCC(=O)OCCCCC,"['chemical', 'alcoholic beverages', 'floral', 'fermented drink']"
CCOC(=O)CC(C)O,"['vegetal', 'fruit with pip', 'green vegetal']"
CCCCCCOC(=O)C(C)(C)C,"['fermented', 'vegetal', 'fruit with pip', 'green vegetal', 'fresh']"
CC(C)CC(=O)OCCCc1ccccc1,"['red berry', 'stone fruit']"
CC(C)C(=O)OCc1ccc2c(c1)OCO2,"['floral', 'stone fruit']"
CCCCC1CCCCC(=O)O1,"['cooked', 'dairy', 'green vegetal', 'aromatic plant', 'cooked sugar', 'oleaginous', 'fermented', 'empyreumatic', 'dried fruit', 'vegetal', 'balsamic', 'dry vegetal', 'fresh', 'tropical fruit', 'woody']"
CCCCCCCOC(=O)CCC,"['vegetal', 'honeyed', 'green vegetal', 'dry vegetal', 'garden flower']"
